Source;Year;Title
IEEE;2003;Low complexity crosstalk cancellation through line selection in upstream VDSL
IEEE;2010;Adaptive Goals for Self-Adaptive Service Compositions
IEEE;2005;Modeling security requirements through ownership, permission and delegation
IEEE;2009;Ontological Support for Managing Non-Functional Requirements In Pervasive Healthcare
IEEE;2012;Towards Dynamic Evolution of Self-Adaptive Systems Based on Dynamic Updating of Control Loops
IEEE;2012;A requirements-based approach for the design of adaptive systems
IEEE;2011;Are your sites down? Requirements-driven self-tuning for the survivability of Web systems
IEEE;2010;Fuzzy Goals for Requirements-Driven Adaptation
IEEE;2012;Privacy arguments: Analysing selective disclosure requirements for mobile applications
IEEE;1993;Documentation of requirements for computer systems
IEEE;2005;The role of deferred requirements in a longitudinal study of emailing
IEEE;2015;Requirements-Driven Self-Optimization of Composite Services Using Feedback Control
IEEE;2008;Goal support towards business processes modelling
IEEE;1992;Understanding operators' information needs for system design
IEEE;2011;Requirements-driven adaptation: Compliance, context, uncertainty, and systems
IEEE;2011;From awareness requirements to adaptive systems: A control-theoretic approach
IEEE;2009;Engineering adaptive requirements
IEEE;2010;A method to acquire compliance monitors from regulations
IEEE;2002;Optimizing system requirements with evolutionary computation
IEEE;2006;Goal-Oriented Development of BDI Agents: The PRACTIONIST Approach
IEEE;2014;Rationalism with a dose of empiricism: Case-based reasoning for requirements-driven self-adaptation
IEEE;2013;Using goals and customizable services to improve adaptability of process-based service compositions
IEEE;2012;Model Driven Provisioning in Multi-tenant Clouds
IEEE;2004;Goal and scenario driven product line development
IEEE;1996;Managing multiple requirements perspectives with metamodels
IEEE;2007;Leveraging Conceptual Models of Trust in Automated Systems to Promote `Appropriate Trust' in Autonomic Systems
IEEE;2004;Cognitive approach to control of socio-economic systems security
IEEE;2009;Are Your Lights Off? Using Problem Frames to Diagnose System Failures
IEEE;2007;Pedestrian Navigation Systems: a Case Study of Deep Personalization
IEEE;2009;From Requirements to Embedded Software - Formalising the Key Steps
IEEE;2001;Semantic models for knowledge management
IEEE;2010;Software architecture for the ECU of automated manual transmission
IEEE;2007;Integrated Perimeter Security System
IEEE;1998;Towards reusable colored Petri nets
IEEE;1999;Development of an intelligent control system for a municipal water distribution network
IEEE;2002;SIMOO-RT-an object-oriented framework for the development of real-time industrial automation systems
IEEE;2011;[Title page]
IEEE;1993;Proceedings of 9th IEEE Conference on Artificial Intelligence for Applications
IEEE;2014;Power Efficient Ultra Wide Band Based Wireless Body Area Networks with Narrowband Feedback Path
IEEE;2013;Table of contents
IEEE;2012;[Title page]
IEEE;1989;The software engineering of adaptive human-computer interfaces
IEEE;2008;Development of Context-Aware Systems to Support Human-Human Communication and Collaboration
IEEE;2010;An Agent-Based System to Support Assurance of Security Requirements
IEEE;2013;A Theory of Information Quality and its Implementation in Systems Engineering
IEEE;2009;An interface language of value-added service creation based on capability-injection
IEEE;2007;Building secure products and solutions
IEEE;2009;Study on China Digital Ocean Prototype System
IEEE;1997;Classical image processing vs. computer vision techniques in automated computer-assisted detection of follicles in ultrasound images of ovary
IEEE;2008;Methodology and tools for the design and verification of a smart management system for home comfort
IEEE;2010;First step towards a domain specific language for self-adaptive systems
IEEE;1995;Requirements monitoring in dynamic environments
IEEE;2009;OSAMI-D: An open service platform for healthcare monitoring applications
IEEE;1995;GPS ground antenna and monitor station upgrades: software requirements analysis
IEEE;2009;Design of Data Management System for Agricultural Land Quality Dynamic Monitoring
IEEE;2010;Requirements analysis for a traceability system for management wood supply chain on Amazon Forest
IEEE;2008;Towards Requirements Engineering in a Service-Oriented Environment--Extending the SOA Interaction Triangle
IEEE;2009;Model-based Runtime Verification of Web Service Interface Contracts
IEEE;2005;Personal and contextual requirements engineering
IEEE;2014;Requirements Engineering process for Software-as-a-Service (SaaS) cloud environment
IEEE;1997;What's the use of requirements engineering?
IEEE;2007;Specifying Monitoring and Switching Problems in Context
IEEE;2011;Social threats and the new challenges for Requirements Engineering
IEEE;2008;Service-Centric Systems and Requirements Engineering
IEEE;2011;Addressing requirements engineering challenges in the context of Emergent Systems
IEEE;2013;Autonomy Requirements Engineering
IEEE;2009;Self-Repair through Reconfiguration: A Requirements Engineering Approach
IEEE;2013;A goal model elaboration for localizing changes in software evolution
IEEE;2013;Development of a test bed for monitoring & control software of a ground station & its analysis by application of standard software metrics
IEEE;2014;Semantic requirements analysis for the Integrated Earth Observation Sensor Web for the digital earth
IEEE;2011;Security Requirements Analysis, Specification, Prioritization and Policy Development in Cyber-Physical Systems
IEEE;2003;From requirements to release criteria: specifying, monitoring, and demonstrating product quality
IEEE;2013;Intention-oriented modelling support for GORE in elastic cloud applications
IEEE;2013;Comprehensive Integrated Checklists for Requirements Engineering and Software Project Management
IEEE;2008;Dynamic Maintenance of Software Systems at Runtime
IEEE;1969;A medical service requirements model for health system design
IEEE;2006;Goal-Oriented Modeling of Requirements Engineering for Dynamically Adaptive System
IEEE;2005;Clinical requirements engineering
IEEE;2014;Wireless communication in process control loop: Requirements analysis, industry practices and experimental evaluation
IEEE;2008;Automated Mapping from Goal Models to Self-Adaptive Systems
IEEE;2014;System of systems capability to requirements engineering
IEEE;2009;Goal reasoning for quality elicitation in the ISOA approach
IEEE;2014;Applying wireless sensor networks to renaturation monitoring: From requirements to deployment
IEEE;2008;Utilizing security requirements engineering methods for operational security maintenance purposes
IEEE;2014;Engineering topology aware adaptive security: Preventing requirements violations at runtime
IEEE;2007;A Refined Goal Model for Semantic Web Services
IEEE;2009;Requirements Analysis of Real-Time Systems by Rational-Rose UML
IEEE;1979;A semantics-based method for requirements analysis and system design
IEEE;2010;Tarmac delay surveillance and mitigation system: Requirements analysis for NextGen
IEEE;1978;Software Requirements Engineering Methodology (SREM) at the age of two
IEEE;2010;A Roadmap for Comprehensive Requirements Modeling
IEEE;2011;Social Software Product Lines
IEEE;2013;Assumption-based risk identification method (ARM) in dynamic service provisioning
IEEE;2008;Requirements Capture with RCAT
IEEE;2014;Eliciting contextual requirements at design time: A case study
IEEE;2012;A ubiquitous system for smart reasoning for well-being at home and at work
IEEE;2012;(Requirement) evolution requirements for adaptive systems
IEEE;2013;Support for intention driven cloud government entitlement services
IEEE;2012;Intention-oriented modelling support for socio-technical driven elastic cloud applications
IEEE;2010;Engineering a Sound Assertion Semantics for the Verifying Compiler
IEEE;2012;Extending the Four-Variable Model for Cyber-Physical Systems
IEEE;2014;The Weighted Decision Matrix: Tracking Design Decisions in Service Compositions
IEEE;2012;Uncovering requirements using serious games
IEEE;2010;Self-Tuning of Software Systems Through Goal-based Feedback Loop Control
IEEE;2013;Harnessing evolutionary computation to enable dynamically adaptive systems to manage uncertainty
IEEE;2013;Getting more from requirements traceability: Requirements testing progress
IEEE;2009;Use Case to Source Code Traceability: The Developer Navigation View Point
IEEE;2012;General Enterprise Framework (GEF)
IEEE;2008;Inventing Requirements from Software: An Empirical Investigation with Web Services
IEEE;2014;Discovering affect-laden requirements to achieve system acceptance
IEEE;2013;A mode-based pattern for feature requirements, and a generic feature interface
IEEE;2010;Managing Carbon Footprint of Buildings with ECView
IEEE;2013;Socially-Augmented Software: Empowering Software Operation Through Social Contacts
IEEE;2010;Mediaprinting: Identifying Multimedia Content for Digital Rights Management
IEEE;2014;Weaving a carpet from log entries: A network security visualization built with co-creation
IEEE;2012;A taxonomy of uncertainty for dynamically adaptive systems
IEEE;2013;Active and Adaptive Services Resource Provisioning with Personalized Customization
IEEE;2008;Assessing the Applicability of Use Case Maps for Business Process and Workflow Description
IEEE;2010;Log filtering and interpretation for root cause analysis
IEEE;2013;IntellBatt: The Smart Battery
IEEE;2013;A pattern for structuring the behavioural requirements of features of an embedded system
IEEE;2008;Domain Model Evolutionary Approach Based on Semantic Association
IEEE;2011;Trustworthy Path Discovery in MANET -- A Message Oriented Cross-Correlation Approach
IEEE;2004;Alerts in mobile healthcare applications: requirements and pilot study
IEEE;2005;Signal processing for estimating energy expenditure of elite athletes using triaxial accelerometers
IEEE;2008;Characterizing maintainability concerns in autonomic element design
IEEE;1969;A Compact Data Acquisition and Control Terminal for Particle Accelerators
IEEE;2001;Requirements modeling for organization networks: a (dis)trust-based approach
IEEE;2005;Microbolometer instrument payload design for a microsatellite mission
IEEE;2003;Acquiring and incorporating state-dependent timing requirements
IEEE;2009;Towards a Unified Framework for Contextual Variability in Requirements
IEEE;2005;Identifying contingency requirements using obstacle analysis
IEEE;2012;Software Product Line Engineering for Developing Self-Adaptive Systems: Towards the Domain Requirements
IEEE;2001;XML-based method and tool for handling variant requirements in domain models
IEEE;2011;Scenario-Based Specification of Automotive Requirements With Quantitative Constraints and Synthesis of SL/SF Monitors
IEEE;2005;A solution to sensor network coverage problem
IEEE;2014;Business processes and regulations compliance management technology
IEEE;2012;On the role of requirements in understanding and managing technical debt
IEEE;2003;Web agents for requirements consistency management
IEEE;2009;Energy aware beaconless geographical routing in three dimensional Wireless Sensor Networks
IEEE;2014;Towards feature-oriented requirements validation for automotive systems
IEEE;2001;Requirements-based dynamic metrics in object-oriented systems
IEEE;2008;Building Contingencies into Specifications
IEEE;2013;On the autonomy requirements for space missions
IEEE;2007;GPSDTN: Predictive Velocity-Enabled Delay-Tolerant Networks for Arctic Research and Sustainability
IEEE;2008;Cluster management in the known area of deployment for wireless sensor network
IEEE;2006;Discovering early aspects
IEEE;2007;A Sound Assertion Semantics for the Dependable Systems Evolution Verifying Compiler
IEEE;2013;Supporting Model-Driven Requirements Management in the Embedded Systems Domain
IEEE;2009;Requirements Elicitation in a Telemedicine Pain-treatment Trial
IEEE;2014;Research of performance test technology for big data applications
IEEE;1997;LOODS: a new learning-based object-oriented system development environment
IEEE;2000;Using databases to streamline Test Program Set development
IEEE;2003;Embracing requirements variety for e-Governments based on multiple product-lines frameworks
IEEE;1996;Archiving system states by persistent objects
IEEE;2005;Requirements uncertainty: influencing factors and concrete improvements
IEEE;2005;Embedding policy rules for software-based systems in a requirements context
IEEE;2011;Evolution vs. innovation in requirements for services
IEEE;2010;Risk-based Confidentiality Requirements Specification for Outsourced IT Systems
IEEE;1995;GPS ground antenna and monitor station upgrades: system analysis and design
IEEE;2014;Design and Implementation of Web-Based International Trade Risk Management Platform
IEEE;2008;Developing a Workflow Design Framework Based on Dataflow Analysis
IEEE;2002;Agent-based tactics for goal-oriented requirements elaboration
IEEE;2007;Dynamic Requirements Specification for Adaptable and Open Service Systems
IEEE;2009;Utilizing Rule Deviations in IT Ecosystems for Implicit Requirements Elicitation
IEEE;2012;From use cases and their relationships to code
IEEE;2006;Making Sense of Requirements, Sooner
IEEE;2006;Instruction in Problem Structuring and Analysis Through Problem Frames
IEEE;1992;The ASPIRE approach to continuous software process improvement
IEEE;2005;Exemplars for better requirements - tales from the trenches
IEEE;2014;Traceability-enabled refactoring for managing just-in-time requirements
IEEE;2003;One approach to the metric baselining imperative for requirements processes
IEEE;2006;Servicing Your Requirements
IEEE;2011;Toward Inconsistency Awareness in Collaborative Software Development
IEEE;2006;Comparative semantics of Feature Diagrams: FFD vs. vDFD
IEEE;2006;Towards an Integrated Approach for Aspectual Requirements
IEEE;2011;Towards a framework for describing cloud service characteristics for use by chief information officers
IEEE;2007;Secure and dependable patterns in organizations: an empirical approach
IEEE;2004;Fluent-based animation: exploiting the relation between goals and scenarios for requirements validation
IEEE;2012;Categorizing requirements for a contract-based system integration project
IEEE;1996;Bridging the gap between structured requirements and object-oriented analysis and design
IEEE;2005;Why context matters - and what can we do about it?
IEEE;2005;Using Rationale for Software Engineering Education
IEEE;2014;MapReduce-based warehouse systems: A survey
IEEE;2000;Requirements documentation: why a formal basis is essential
IEEE;1995;Mission control for the 48-satellite Globalstar constellation
IEEE;2009;Evaluating Organizational Configurations
IEEE;2012;Tool support for combined rule-based and goal-based reasoning in Context-Aware systems
IEEE;2006;Using Aspects to Simplify iModels
IEEE;2008;Automatic System Modeling Approach Based on Semantic Association
IEEE;2013;Requirements-driven adaptive digital forensics
IEEE;2012;Breaking the big-bang practice of traceability: Pushing timely trace recommendations to project stakeholders
IEEE;2005;Using black-box persistent state manifest for dependency management in patching and upgrading J2EE based applications
IEEE;2008;On Usability in Requirements Trace Visualizations
IEEE;2011;Vote casting device with VV-SV-PAT for elections with complicated ballot papers
IEEE;2014;Identification of requirements for focused crawlers in technology intelligence
IEEE;2014;Building up a virtual community for home-based chronic diseases healthcare
IEEE;2012;Efficient consistency checking of scenario-based product-line specifications
IEEE;1990;Performance analysis of hierarchically structured multiple bus multiprocessor system
IEEE;1991;Engineering service negotiation and management functionality for the advanced intelligent network: an application of object-oriented technology
IEEE;2009;Intellectual Property Rights Requirements for Heterogeneously-Licensed Systems
IEEE;2014;The business requirements and technical fabric for the Smart City
IEEE;1998;Experiences with program static analysis
IEEE;2007;Visual Support In Automated Tracing
IEEE;1999;Advanced technology explosives detection device deployment in the FAA's security equipment integrated program
IEEE;2011;In a ubiquitous world requirements are ubiquitous too
IEEE;2011;Software requirements change taxonomy: Evaluation by case study
IEEE;2011;Modelling adaptability and variability in requirements
IEEE;1997;The integrated specification and analysis of functional, temporal, and resource requirements
IEEE;2004;Goal-oriented requirements animation
IEEE;1973;X-ray image intensifier systems
IEEE;1999;On-chip multimedia real-time OS and its MPEG-2 applications
IEEE;2012;Adaptive protection scheme with fault detection, classification and isolation features for off-grid distributed generation system
IEEE;2009;Model transformation of dependability-focused requirements models
IEEE;2014;Now more than ever: Privacy and security are required (keynote)
IEEE;2008;Supporting Requirements Change Management in Goal Oriented Analysis
IEEE;2007;Measurement of Energy Expenditure in Elite Athletes Using MEMS-Based Triaxial Accelerometers
IEEE;2006;EMCCD-Based Detector for Time-Resolved X-Ray Diffraction and Scattering Studies of Biological Specimens
IEEE;1990;IEEE Standard Glossary of Software Engineering Terminology
ScienceDirect;2012;Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop
ScienceDirect;2013;Intention-oriented programming support for runtime adaptive autonomic cloud-based applications
ScienceDirect;2014;Uncertainty handling in goal-driven self-optimization – Limiting the negative effect on adaptation
ScienceDirect;2005;Early Verification and Validation of Mission Critical Systems
ScienceDirect;2012;Using RELAX, SysML and KAOS for Ambient Systems Requirements Modeling
ScienceDirect;2012;Analysing monitoring and switching problems for adaptive systems
ScienceDirect;2014;Chapter 13 - The Design Implications of Users’ Values for Software and System Architecture
ScienceDirect;2014;The actor_s view of automated planning and acting: A position paper
ScienceDirect;2006;Comparing requirements analysis methods for developing reusable component libraries
ScienceDirect;2011;Chapter 9 - Data Requirements Analysis
ScienceDirect;2012;Prevention of neointimal hyperplasia associated with modified stretch expanded polytetrafluoroethylene hemodialysis grafts (Gore) in an experimental preclinical study in swine
ScienceDirect;2012;Value models for engineering of complex sustainable systems
ScienceDirect;2011;17 - Inspection, Monitoring, Auditing, and Tracking
ScienceDirect;2012;Ambient Assisted Living system for in-home monitoring of healthy independent elders
ScienceDirect;2003;"A method of formal requirement analysis for NPP I&C systems based on UML modeling with software cost reduction"
ScienceDirect;2014;Laser-induced breakdown spectroscopy expands into industrial applications
ScienceDirect;2013;An aggregated energy security performance indicator
ScienceDirect;2014;Lessons learnt from the development of the Patient Safety Incidents Reporting an Learning System for the Spanish National Health System: SiNASP
ScienceDirect;2013;Characterizing uncertainty when evaluating risk management metrics: Risk assessment modeling of Listeria monocytogenes contamination in ready-to-eat deli meats
ScienceDirect;2011;Proteomics by mass spectrometry—Go big or go home?
ScienceDirect;2012;On the Development of Condition Based Maintenance Strategy for Offshore Wind Farm: Requirement Elicitation Process
ScienceDirect;2009;Feasibility of simultaneous pre- and postfilter transcranial Doppler monitoring during carotid artery stenting
ScienceDirect;2012;Quantifying spatial and temporal variability of macroinvertebrate metrics
ScienceDirect;2011;Clay minerals, carbon storage, and effects of observational scale on computational models
ScienceDirect;2012;Design and implementation of an identification system in construction site safety for proactive accident prevention
ScienceDirect;2012;Design and application of task administration protocols for collaborative production and service systems
ScienceDirect;2011;Evaluation of esophageal motility and reflux in children treated for congenital diaphragmatic hernia with the use of combined multichannel intraluminal impedance and pH monitoring
ScienceDirect;1992;A VERSATILE MONITORING SYSTEM FOR DISTRIBUTED REAL-TIME SYSTEMS
ScienceDirect;2009;Specifications for trueness and precision of a reference measurement system for serum/plasma 25-hydroxyvitamin D analysis
ScienceDirect;2008;A conceptual view on trajectories
ScienceDirect;2010;A Novel Innominate Vein-to-Common Atrium Fenestration at Fontan Completion
ScienceDirect;2011;A memory for goals model of sequence errors
ScienceDirect;2006;An efficient heuristic for selecting active nodes in wireless sensor networks
ScienceDirect;2011;The Significance of Endoleaks in Thoracic Endovascular Aneurysm Repair
ScienceDirect;2007;Evaluation of pressure transmission and intra-aneurysmal contents after endovascular repair using the Trivascular Enovus expanded polytetrafluoroethylene stent graft in a canine model of abdominal aortic aneurysm
ScienceDirect;2010;Multidisciplinary Approach to Prevent Spinal Cord Ischemia After Thoracic Endovascular Aneurysm Repair for Distal Descending Aorta
ScienceDirect;1994;Visualization of conceptual specifications
ScienceDirect;1998;Development of Clinical Nutrition Staffing Model
ScienceDirect;2006;Transaction management for m-commerce at a mobile terminal
ScienceDirect;2003;Fabric tears as a new cause of type III endoleak with ancure endograft
ScienceDirect;1988;Automated software project planning and control
ScienceDirect;1982;The Management of Neonatal Posterolateral Diaphragmatic Hernia
Web of Science;2015;Requirements-Driven Self-Optimization of Composite Services Using Feedback Control
Web of Science;2014;Power Efficient Ultra Wide Band Based Wireless Body Area Networks with Narrowband Feedback Path
Web of Science;2014;Implementation decision making for internetware driven by quality requirements
Web of Science;2014;Uncertainty handling in goal-driven self-optimization - Limiting the negative effect on adaptation
Web of Science;2014;The actor's view of automated planning and acting: A position paper
Web of Science;2014;Robotics and artificial intelligence: A perspective on deliberation functions
Web of Science;2013;End-to-End Formal Specification, Validation, and Verification Process: A Case Study of Space Flight Software
Web of Science;2013;Intention-oriented programming support for runtime adaptive autonomic cloud-based applications
Web of Science;2013;Adaptive socio-technical systems: a requirements-based approach
Web of Science;2013;Knowledge-Oriented Approach to Requirements Engineering in Ambient-Assisted Living Domain
Web of Science;2013;Getting More from Requirements Traceability: Requirements Testing Progress
Web of Science;2013;Harnessing Evolutionary Computation to Enable Dynamically Adaptive Systems to Manage Uncertainty
Web of Science;2013;From GMoDS Models to Object-Oriented Specifications in Event-B
Web of Science;2013;Requirements Models for Design- and Runtime A Position Paper
Web of Science;2013;Support for Intention Driven Cloud Government Entitlement Services
Web of Science;2013;Active and Adaptive Services Resource Provisioning with Personalized Customization
Web of Science;2012;Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop
Web of Science;2012;Analysing monitoring and switching problems for adaptive systems
Web of Science;2012;Process warehouses in practice: a goal-driven method for business process analysis
Web of Science;2012;Towards a goal-driven approach to action selection in self-adaptive software
Web of Science;2012;Using RELAX, SysML and KAOS for Ambient Systems Requirements Modeling
Web of Science;2012;A Study of the Impact of Global Software Development in Packaged Software Release Planning
Web of Science;2012;A Requirements-Based Approach for the Design of Adaptive Systems
Web of Science;2012;A Tool for Managing Evolving Security Requirements
Web of Science;2012;Value models for engineering of complex sustainable
Web of Science;2012;Service-Driven Migrating of Enterprise Information Systems: A Case Study
Web of Science;2012;Monitoring Value Webs
Web of Science;2012;Optimizing Monitoring Requirements in Self-adaptive Systems
Web of Science;2012;How to Design and Deliver Process Context Sensitive Information: Concept and Prototype
Web of Science;2011;A BDI agent programming language with failure handling, declarative goals, and planning
Web of Science;2011;Automatic Derivation of Utility Functions for Monitoring Software Requirements
Web of Science;2011;"Smart Work Workbench, Integrated Tool for IT Services Planning, Management, Execution and Evaluation"
Web of Science;2011;Enterprise Monitoring Ontology
Web of Science;2011;Requirements Evolution: From Assumptions to Reality
Web of Science;2011;Monitoring Service Systems from a Language-Action Perspective
Web of Science;2011;Satisfying User Needs at the Right Time and in the Right Mice: A Research Preview
Web of Science;2011;Systematic Development of UMLsec Design Models Based on Security Requirements
Web of Science;2011;On the Move to Business-Driven Alignment of Service Monitoring Requirements
Web of Science;2011;Are Your Sites Down? Requirements-Driven Self-Tuning for the Survivability of Web Systems
Web of Science;2011;Run-time Resolution of Uncertainty
Web of Science;2011;Study of Goal-oriented Migrating Workflow System based on Mobile Computing Paradigm
Web of Science;2010;A goal-based framework for contextual requirements modeling and analysis
Web of Science;2010;RELAX: a language to address uncertainty in self-adaptive systems requirement
Web of Science;2009;Situ: A Situation-Theoretic Approach to Context-Aware Service Evolution
Web of Science;2009;Monitoring and diagnosing software requirements
Web of Science;2009;Engineering Adaptive Requirements
Web of Science;2009;Self-repair Through Reconfiguration: A Requirements Engineering Approach
Web of Science;2009;Study on China Digital Ocean Prototype System
Web of Science;2009;From Requirements to Embedded Software - Formalising the Key Steps
Web of Science;2009;Monitoring and Diagnosing Malicious Attacks with Autonomic Software
Web of Science;2009;Requirements Evolution and What (Research) to Do about It
Web of Science;2009;Designs Can Talk: A Case of Feedback for Design Evolution in Assistive Technology
Web of Science;2009;Managing Legal Texts in Requirements Engineering
Web of Science;2009;On Technology Convergence and Platforms: Requirements Challenges from New Technologies and System Architectures
Web of Science;2009;OSAMI-D: An Open Service Platform for Healthcare Monitoring Applications
Web of Science;2009;A Goal-Based Modeling Approach to Develop Requirements of an Adaptive System with Environmental Uncertainty
Web of Science;2009;AN INTERFACE LANGUAGE OF VALUE-ADDED SERVICE CREATION BASED ON CAPABILITY-INJECTION
Web of Science;2009;Are Your Lights Off? Using Problem Frames to Diagnose System Failures
Web of Science;2009;The Explore of the Law Role in Software Requirements Engineering
Web of Science;2008;GOLD infrastructure for virtual organizations
Web of Science;2008;Methodology and Tools for the Design and Verification of a Smart Management System for Home Comfort
Web of Science;2008;Deriving policies from grid security requirements model
Web of Science;2008;Refining goal models by evaluating system behaviour
Web of Science;2008;Goal-based modeling of dynamically adaptive system requirements
Web of Science;2008;Multi-Level System Integration based on AUTOSAR
Web of Science;2008;Development of context-aware systems to support human-human communication and collaboration
Web of Science;2008;Secure Workflow Development From Early Requirements Analysis
Web of Science;2008;Towards Goal-Driven Self Optimisation of Service Based Applications
Web of Science;2007;Building secure products and solutions
Web of Science;2007;Early verification and validation of mission critical systems
Web of Science;2007;Addressing legal requirements in requirements engineering
Web of Science;2007;Applying requirements monitoring for autonomic computing in a combat management system
Web of Science;2007;Monitoring group behavior in goal-directed agents using co-efficient plan observation
Web of Science;2007;Requirements-driven design and configuration management of business processes
Web of Science;2007;Monitoring requirements evolution using views
Web of Science;2007;An industrial network flow information integration model for supply chain management and intelligent transportation
Web of Science;2007;From a goal-oriented methodology to a BDI agent language: The case of Tropos and Alan
Web of Science;2007;Investigating an 'Agile-Rigid' Approach in Globally Distributed Requirements Analysis
Web of Science;2007;"A unified requirements model, integrating features, use cases, requirements, requirements analysis and hazard analysis"
Web of Science;2007;Trade-off between performance and energy consumption in Wireless Sensor Networks
Web of Science;2007;Dynamic requirements specification for adaptable and open service-oriented systems
Web of Science;2007;Service level agreements: Web services and security Web Engineering, Proceedings
Web of Science;2007;Modelling QoS for wireless sensor networks Wireless Sensor and Actor Networks
Web of Science;2006;PC-RE: a method for personal and contextual requirements engineering with some experience
Web of Science;2006;A requirements monitoring framework for enterprise systems
Web of Science;2006;Comparing requirements analysis methods for developing reusable component libraries
Web of Science;2006;A five-step method for value-based planning and monitoring of systems engineering projects
Web of Science;2006;Metodología para la gerencia de los procesos del negocio sustenda en el uso de patrones
Web of Science;2006;GOLD infrastructure for virtual organisations
Web of Science;2005;Support vector machines for quality, monitoring in a plastic injection molding process
Web of Science;2005;Monitoring with behavior view diagrams for debugging
Web of Science;2005;The role of deferred requirements in a longitudinal study of emailing
Web of Science;2005;Modeling security requirements through ownership, permission and delegation
Web of Science;2005;Clinical requirements engineering
Web of Science;2005;Monitoring and control in scenario-based requirements analysis
Web of Science;2005;Toward improvement-oriented reuse of experience in engineering design processes
Web of Science;2005;An operational model for structuring the requirements generation process
Web of Science;2004;Alerts in mobile healthcare applications: Requirements and pilot study
