Source;Year;Title;Keywords;Abstract
Engineering Village;2014;Requirements-driven social adaptation: Expert survey;;[Context and motivation] Self-adaptation empowers systems with the capability to meet stakeholders' requirements in a dynamic environment. Such systems autonomously monitor changes and events which drive adaptation decisions at runtime. Social Adaptation is a recent kind of requirements-driven adaptation which enables users to give a runtime feedback on the success and quality of a system's configurations in reaching their requirements. The system analyses users' feedback, infers their collective judgement and then uses it to shape its adaptation decisions. [Question/problem] However, there is still a lack of engineering mechanisms to guarantee a correct conduction of Social Adaptation. [Principal ideas/results] In this paper, we conduct a two-phase Expert Survey to identify core benefits, domain areas and challenges for Social Adaptation. [Contribution] Our findings provide practitioners and researchers in adaptive systems engineering with insights on this emerging role of users, or the crowd, and stimulate future research to solve the open problems in this area. © 2014 Springer International Publishing Switzerland.
Engineering Village;2008;Building contingencies into specifications;;We propose an approach to runtime feature composition and conflict resolution that combines arbitration and contingencies. By arbitration we mean the resolution of conflicts between features using priorities. Contingency means having several specifications per feature, satisfying the same requirement, depending on the current state of the shared resource. Evaluation of our approach shows that combining arbitration and contingencies ensures that in the event of a conflict, requirements of the conflicting features are eventually satisfied. © 2008 IEEE.
Engineering Village;2011;Social software product lines;;Software product lines are an engineering paradigm to systematically configure software products from reusable assets so that development effort and time are minimized. Configuring a high quality product is challenging, because quality is a dynamic property and can be difficult to determine at design time. In this paper, we propose Social Software Product Lines paradigm (SSPL) which exploits users' perception in judging products quality and guiding the configuration process at runtime. The SSPL paradigm advocates two principles. First, quality has to be evaluated iteratively during the product operation so that quality evaluation is kept up-to-date. Second, users are the primary evaluators of quality and their feedback is a primitive driver of configuration. At runtime, SSPL obtains users' quality feedback and reconfigures repeatedly in order to deliver the product found to be most adequate by the users' community. We discuss motivation and foundations of SSPL, and outline a set of research challenges. © 2011 IEEE.
Engineering Village;2010;Self-tuning of software systems through goal-based feedback loop control;;Quality requirements of a software system cannot be optimally met, especially when it is running in an uncertain and changing environment. In principle, a controller at runtime can monitor the change impact on quality requirements of the system, update the expectations and priorities from the environment, and take reasonable actions to improve the overall satisfaction. In practice, however, existing controllers are mostly designed for tuning low-level performance indicators rather than high-level requirements. By linking the overall satisfaction to a business value indicator as feedback, we propose a control-theoretic self-tuning method that can dynamically adjust the tradeoff decisions among different quality requirements. A preference-based reasoning algorithm is involved to configure hard goals accordingly to guide the following architecture reconfiguration. © 2010 IEEE.
Engineering Village;2011;Social sensing: When users become monitors;;Adaptation requires a system to monitor its operational context to ensure that when changes occur, a suitable adaptation action is planned and taken at runtime. The ultimate goal of adaptation is that users get their dynamic requirements met efficiently and correctly. Context changes and users'judgment of the role of the system in meeting their requirements are drivers for adaptation. In many cases, these drivers are hard to identify by designers at design time and hard to monitor by the use of exclusively technological means by the system at runtime. In this paper, we propose Social Sensing as the activity performed by users who act as monitors and provide information needed for adaptation at runtime. Such information helps the system cope with technology limitations and designers'uncertainty. We discuss the motivation and foundations of Social Sensing and outline a set of research challenges to address in future work. © 2011 ACM.
Engineering Village;2013;Requirements-driven software evolution;;It is often the case that stakeholders want to strengthen/weaken or otherwise change their requirements for a system-to-be when certain conditions apply at runtime. For example, stakeholders may decide that if requirement R is violated more than N times in a week, it should be relaxed to a less demanding one R-. Such evolution requirements play an important role in the lifetime of a software system in that they define possible changes to requirements, along with the conditions under which these changes apply. In this paper we focus on this family of requirements, how to model them and how to operationalize them at runtime. In addition, we evaluate our proposal with a case study adopted from the literature. © 2012 Springer-Verlag Berlin Heidelberg.
Engineering Village;2009;Analysis of problem frame and properties materiel requirements;;In order to extropolate what are involved in materiel requirements, problem frame for materiel requirements is provided and substantive properties which belong to materiel requirements are rigorously analyzed based on key artifacts, which are distilled from the wide variations in the use of terms. Problem frame for materiel requirements focuses on the key artifacts, their attributes, and relationships at a general level. By using higher-order logical notational conventions, formal analyses are made, describing the relations that material requirements and their reflection must satisfy. Adequacy, precondition, feasibility, necessity, and hierarchy of materiel requirements are included. Adequacy, necessity, and guidablity of materiel requirements reflection are also included. Finally, an example about the presumed urban antimissile defense system shows that the approach is highly feasible, effective and promising.
Engineering Village;2007;Towards variability design as decision boundary placement;;Complex information systems have numerous design variables that are systematically decided upon during the design process. In high-variability systems, some of these decisions are left open and deferred to later stages. For example, in product line architectures, some decision variables are used to generate families of products with variations in features. In user-adaptive systems, the behavior of the system is determined at runtime, based on user characteristics and preferences. In this paper, we propose to characterize variability in terms of boundaries in design decision graphs which depict the space of alternatives. A design decision about variability, such as what choices should be left to the user and which ones should be fixed at which stage in the design process, is then a question of where to place that decision boundary along some path in the relevant decision graph.
Engineering Village;2013;Supporting decision-making for self-adaptive systems: From goal models to dynamic decision networks;;[Context/Motivation] Different modeling techniques have been used to model requirements and decision-making of self-adaptive systems (SASs). Specifically, goal models have been prolific in supporting decision-making depending on partial and total fulfilment of functional (goals) and non-functional requirements (softgoals). Different goalrealization strategies can have different effects on softgoals which are specified with weighted contribution-links. The final decision about what strategy to use is based, among other reasons, on a utility function that takes into account the weighted sum of the different effects on softgoals. [Questions/Problems] One of the main challenges about decisionmaking in self-adaptive systems is to deal with uncertainty during runtime. New techniques are needed to systematically revise the current model when empirical evidence becomes available from the deployment. [Principal ideas/results] In this paper we enrich the decision-making supported by goal models by using Dynamic Decision Networks (DDNs). Goal realization strategies and their impact on softgoals have a correspondence with decision alternatives and conditional probabilities and expected utilities in the DDNs respectively. Our novel approach allows the specification of preferences over the softgoals and supports reasoning about partial satisfaction of softgoals using probabilities. We report results of the application of the approach on two different cases. Our early results suggest the decision-making process of SASs can be improved by using DDNs. © 2013 Springer-Verlag.
Engineering Village;2012;(Requirement) evolution requirements for adaptive systems;;It is often the case that stakeholders want to strengthen/weaken or otherwise change their requirements for a system-to-be when certain conditions apply at runtime. For example, stakeholders may decide that if requirement R is violated more than N times in a week, it should be relaxed to a less demanding one R-. Such evolution requirements play an important role in the lifetime of a software system in that they define possible changes to requirements, along with the conditions under which these changes apply. In this paper we focus on this family of requirements, how to model them and how to operationalize them at runtime. In addition, we evaluate our proposal with a case study adopted from the literature. © 2012 IEEE.
Engineering Village;2009;Requirements tracing to support change in dynamically adaptive systems;;[Context and motivation] All systems are susceptible to the need for change, with the desire to operate in changeable environments driving the need for software adaptation. A Dynamically Adaptive System (DAS) adjusts its behaviour autonomously at runtime in order to accommodate changes in its operating environment, which are anticipated in the system's requirements specification. [Question/Problem] In this paper, we argue that Dynamic Adaptive Systems' requirements specifications are more susceptible to change than those of traditional static systems. We propose an extension to i*strategic rationale models to aid in changing a DAS. [Principal Ideas/Results] By selecting some of the types of tracing proposed for the most complex systems and supporting them for DAS modelling, it becomes possible to handle change to a DAS' requirements efficiently, whilst still allowing artefacts to be stored in a Requirements Management tool to mitigate additional complexity. [Contribution] The paper identifies different classes of change that a DAS' requirements may be subjected to, and illustrates with a case study how additional tracing information can support the making of each class of change. © 2009 Springer Berlin Heidelberg.
Engineering Village;2012;Market-aware requirements;;Traditionally, non-functional requirements (NFRs) are specified as measurable entities to permit evaluation satisfaction,, however, NFR specifications quickly become obsolete because (1) NFRs are expressed in numbers, (2) architects specify them using the correct values at design time, and/or (3) providers are constantly improving their offer, in terms of functionality and quality of service (QoS). The computing-with-words approach has already been proposed to replace numerical NFR specifications, where natural language words denote fuzzy quality levels,, unfortunately, current proposals provide only for design-time, stakeholder-defined translation of words as numerical ranges. We propose a mechanism to automatically and dynamically determine current numerical ranges of the fuzzy quality levels from the available data, without human intervention, whenever changes to component QoS specifications. Our main contribution is allowing architects to specify their requirements using words only once (at design time), and whenever providers change components QoS characteristics, automatically update those requirements to the new market view, enabling market-aware requirements. The approach was validated by measuring the number of times that necessarily a requirement had to be rewritten at runtime in order to get new operationalizations which replace the now older ones. We use a set of ten complex requirements, a dataset of 1500 actual Web services with precise measurements for nine QoS aspects, and a simulated offering variability. A Web-based prototype is also made available.
Engineering Village;2015;Pragmatic requirements for adaptive systems: A goal-driven modeling and analysis approach;;Goal-models (GM) have been used in adaptive systems engineering for their ability to capture the different ways to fulfill the requirements. Contextual GM (CGM) extend these models with the notion of context and context-dependent applicability of goals. In this paper, we observe that the interpretation of a goal achievement is itself contextdependent. Thus, we introduce the notion of Pragmatic Goals which have a dynamic satisfaction criteria. However, the specification of contextdependent goals’ applicability as well as their interpretations make it hard for stakeholders to decide whether the model is achievable for all possible context combinations. Thus we also developed and evaluated an algorithm to decide on the Pragmatic CGM’s achievability.We performed several experiments to evaluate our algorithm regarding correctness and performance and concluded that it can be used for deciding at runtime the tasks to execute under a given context to achieve a quality constraint as well as for pinpointing context sets in which the model is intrinsically unachievable. © Springer International Publishing Switzerland 2015.
Engineering Village;2013;Satisficing-based approach to resolve feature interactions in control systems;;To handle the complexity of modern control systems there is an urgent need to develop features as independently developed units of extension. However, when independently developed features are later composed they become coupled through the shared environment resources. As a consequence, the system requirements may no longer be entailed when independent features try to control the same shared environment. Malfunctioning behavior as a consequence of feature interference is know in the literature as the feature interaction problem. This paper present an approach that uses designtime specification of independent requirements, in combination with a runtime arbitrator that search for feature interaction free programs which entail the system requirements. In case of conflicting requirements that can't be satisfied simultaneously, the mechanism supports explanation of the interactions as a context sharing problem. We demonstrate our approach in a real-life control system for industrial pot plant cultivation in greenhouses and show that solutions are found for compatible requirements and that conflicts are identified and explained for incompatible requirements. © 2013 Springer Science+Business Media.
Engineering Village;2003;Acquiring and incorporating state-dependent timing requirements;;Some real-time systems are designed to deliver services to objects that are controlled by external sources. Their services must be delivered on a timely basis, and the system fails when some services are delivered too late. Such a system may fail if the timing requirements, which it is designed to meet are erroneous. It may under-utilize resources and, consequently, be costly or unreliable if the requirements are too stringent. In general, the timing requirements of the system may change when the states of the objects monitored by the system change. Hence, one must identify how changes in object states call for changes in system requirements and how these changes should be incorporated in the design and implementation of the system. We first describe a methodology to determine timing requirements and to take into account of requirement changes at runtime. The method is based on several timing requirement determination schemes. Simulation data show that these schemes are effective for applications such as mobile IP hand-offs. We then discuss how to incorporate this methodology in the design of such systems and in the development process. © 2003 IEEE.
Engineering Village;2014;Dealing with multiple failures in zanshin: A control-theoretic approach;;Adaptive software systems monitor the environment to ensure that their requirements are being fulfilled. When this is not the case, their adaptation mechanism proposes an adaptation (a change to the behaviour/configuration) that can lead to restored satisfaction of system requirements. Unfortunately, such adaptation mechanisms don't work very well in cases where there are multiple failures (divergence of system behaviour relative to several requirements). This paper proposes an adaptation mechanism that can handle multiple failures. The proposal consists of extending the Qualia adaptation mechanism of Zanshin enriched with features adopted from Control Theory. The proposed framework supports the definition of requirements for the adaptation process prescribing how to deal at runtime with problems such as conicting requirements and synchronization, enhancing the precision and effectiveness of the adaptation mechanism. The proposed mechanism, named Qualia+ is illustrated and evaluated with an example using the meeting scheduling exemplar.
Engineering Village;2005;Dynamic software assembly for automatic deployment-oriented adaptation;;The notion of software adaptation considered in this paper relates to the capability of making software systems adjustable to varying deployment requirements. In this context we seek for the necessary runtime infrastructure to allow software systems adapt on the fly to the particular execution requirements. The primary assumption is that the constituent components of a software system may have to be provided with alternative incarnations, each potentially addressing varying deployment needs. In this context, adaptation is treated as a runtime function of the system itself, realising a component and assembly process, since the deployment-specific parameters are only known upon execution start-up. © 2005 Elsevier B.V.
Engineering Village;2006;Efficient trace monitoring;;A wealth of recent research involves generating program monitors from declarative specifications. Doing this efficiently has proved challenging, and available implementations often produce infeasibly slow monitors. We demonstrate how to dramatically improve performance - typically reducing overheads to within an order of magnitude of the program's normal runtime.
Engineering Village;2007;Setting and evaluation of flexible points on software user interface;;In order to adapt to user requirement changes at runtime, software provides adaptable operations through user interfaces to change software functionality. We suggest the FleXible Point (FXP), flexible changes, flexible degree, flexible force, and flexible distance to evaluate the effect of such user interfaces. An approach and a case are given to illustrate the evaluation and setting of the FXPs. Quantitative relationship between flexible point on user interface and software flexibility is discussed and expressed. The approach can be used as a guide to adjust, improve, and to compare the FXPs on user interfaces. It is a direction for managers to arrange different levels of manipulators to increase the FXP efficiency and bring user interface flexibility into play. © 2007 IEEE.
Engineering Village;2001;Constructing adaptive software in distributed systems;;Adaptive software that can react to changes in the execution environment or user requirements by switching algorithms at runtime is powerful yet difficult to implement, especially in distributed systems. This paper describes a software architecture for constructing such adaptive software and a graceful adaptation protocol that allows adaptations to be made in a coordinated manner across hosts transparently to the application. A realization of the architecture based on Cactus, a system for constructing highly configurable distributed services and protocols, is also presented. The approach is illustrated by outlining examples of adaptive components from a group communication service.
Engineering Village;2013;Active and adaptive services resource provisioning with personalized customization;;Software as a service(SaaS), we are moving to the age of service-oriented software engineering(SOSE). But for the goal of services computing, namely on-demand service, it has not been able to achieved by far, especially the active provisioning approach for services resource. In view of these facts of services aggregation, i.e. The relative deficient services resource, single provision structure and passive selection mode for service requesters. Active provisioning of services resource with personalized customization will be focused. In this paper, we have established software architecture with personalized active custom for services resource. Customization of the active provisioning of services resource mainly includes two aspects: Firstly, for unmatched services resource of service composition, sliced or segmentation method should be chosen to acquire the individual needs of services resource according to the overall requirements. Secondly, a huge amount of legacy software will be comprehensively reused, namely servicelization. Through personalized customization of services resource, it will achieve on-demand active provisioning to furnish adequate material for dynamic services aggregation. It will also provide the production framework, process guidance and engineering support of CASE tools for services resource provisioning in runtime based on personalized customization. The feasibility and efficiency of the proposed approach are verified by a series of experiments. © 2013 IEEE.
Engineering Village;2006;ANIS: A negotiated integration of services in distributed environments;;The development of highly dynamic distributed environments modifies the runtime behavior of applications. Applications tend to use services available everywhere in the environment and would like to, whenever it is possible and/or needed, integrate services offered by the local environment. In particular, if no single service can satisfy the functionality required by the application, combining existing services together should be a possibility in order to fulfill the request. In this article, we propose ANIS: A Negotiated Integration System. Our system provides a framework including a set of integration management interfaces - Integrable, Negotiable, IntegrationLifeCycle - and the tools implementing these interfaces. These tools offer different techniques of integration (local/remote composition, local/remote weaving, deployment by downloading/uploading), negotiation by contracts and the capability to manage the life cycle of the integration. A prototype based on Java platform and OSGi technology is implemented as a proof-of-concept to demonstrate the potential of ANIS1. © Springer-Verlag Berlin Heidelberg 2006.
Engineering Village;2007;An approach to automated agent deployment in service-based systems;;In service-based systems, services from various providers can be integrated following specific workflows to achieve users' goals. These workflows are often executed and coordinated by software agents, which invoke appropriate services based on situation changes. These agents need to be deployed on underlying platforms with respect to various requirements, such as access permission of agents, real-time requirements of workflows, and reliability of the overall system. Deploying these agents manually is often error-prone and time-consuming. Furthermore, agents need to migrate from hosts to hosts at runtime to satisfy deployment requirements. Hence, an automated agent deployment mechanism is needed. In this paper, an approach to automated agent deployment in service-base systems is presented. In this approach, the deployment requirements are represented as deployment policies, and techniques are developed for generating agent deployment plans by solving the constraints specified in deployment policies, and for generating executable code for runtime agent deployment and migration. © 2007 IEEE.
Engineering Village;2007;A factory to design and buid tailorable and verifiable middleware;;Heterogeneous non-functional requirements of Distributed Real-Time Embedded (DRE) system put a limit on middleware engineering: the middleware must reflect application requirements, with limited runtime impact. Thus, building an application-tailored middleware is both a requirement and a challenge. In this paper, we provide an overview of our work on the construction of middleware. We focus on two complementary projects: the definition of middleware that provides strong support for both tailorability and verification of its internals,, the definition of a methodology that enables the automatizing of key steps of middleware construction. We illustrate how our current work on PolyORB, Ocarina and the use of Petri Nets allows designer to build the middleware that precisely matches its application requirements and comes with precise proof of its properties. © Springer-Verlag Berlin Heidelberg 2007.
Engineering Village;2005;Memory Requirements of Java Bytecode Verification on Limited Devices;;Bytecode verification forms the corner stone of the Java security model that ensures the integrity of the runtime environment even in the presence of untrusted code. Limited devices, like Java smart cards, lack the necessary amount of memory to verify the type-safety of Java bytecode on their own. Proof carrying code techniques compute, outside the device, tamper-proof certificates which simplify bytecode verification and pass them along with the code. Rose has developed such an approach for a small subset of the Java bytecode language. In this paper, we extend this approach to real world Java software and develop a precise model of the memory requirements on the device. We use a variant of interval graphs to model liveness of memory regions in the checking step. Based on this model, memory-optimal checking strategies are computed outside the device and attached to the certificate. The underlying type system of the bytecode verifier has been augmented with multi-dimensional arrays and recognizes references to uninitialized Java objects. Our detailed measurements, based on real world Java libraries, demonstrate that the approach offers a substantial improvement in size of certificate over the similar approach taken by the KVM verifier. Worst case memory consumption on the device is examined as well and it turns out that the refinements based on our model save a significant amount of memory. © 2005 Published by Elsevier B.V.
Engineering Village;2006;Generic architecture and mechanisms for protocol reconfiguration;;The next generation of wireless mobile communications termed beyond 3G (or 4G) will be based on a heterogeneous infrastructure that comprises different wireless networks in a complementary manner. Beyond 3G will introduce reconfiguration capabilities to flexibly and dynamically (i.e. during operation) adapt the wireless protocol stacks to better meet the ever-changing service requirements. For the dynamic reconfiguration of protocol stacks during runtime operation to become a practical capability of mobile communication systems it is necessary to establish a software architecture that functionally supports reconfiguration. In the present paper a generic architecture and respective mechanisms to achieve protocol stack and component based protocol layer reconfiguration are proposed. © Springer Science + Business Media LLC 2006.
Engineering Village;2006;Proceedings 2006 Australian Software Engineering Conference;;The proceedings contain 44 papers. The topics discussed include: an agile approach to support incremental development of requirements specifications,, requirements capture and specifications for enterprise applications: a UML based attempt,, compatibility test for coordination aspects of software components,, a framework for checking behavioral compatibility for component composition,, a runtime monitoring and validation framework for web service interactions,, checking conformance between business processes and web service contract in service oriented applications,, a coordinated architecture for the agent-based service level agreement negotiation of web service composition,, optimizing web services performance with table driven XML,, design of agent-oriented pattern templates,, a framework for evaluating alternative architectures and its application to financial business processes,, and a service-oriented architecture for software process technology,, the transparent adaptation approach to the development of awareness mechanisms for groupware.
