ID;Year;Sources;Title;Analysis
37;2014;Engineering Village, SCOPUS, Springer;A framework for the operationalization of monitoring in business intelligence requirements engineering;~IC1
38;2010;Engineering Village, SCOPUS;A generic architecture for surveillance systems;~IC1
39;2013;IEEE,SCOPUS;A goal model elaboration for localizing changes in software evolution;~IC1
40;2010;Engineering Village, SCOPUS, Springer, Web of Science;A goal-based framework for contextual requirements modeling and analysis;OK
41;2009;Engineering Village, SCOPUS, Web of Science;A Goal-Based Modeling Approach to Develop Requirements of an Adaptive System with Environmental Uncertainty;~IC1
42;2014;ACMDL;A goal-oriented requirements engineering approach for the ambient assisted living domain;OK
43;2013;SCOPUS;A green model for sustainable software engineering;~IC1
44;2012;SCOPUS;A high-rate, low-power, ASIC speech decoder using finite state transducers;~IC1
45;2008;Engineering Village, SCOPUS;A human-machine dimensional inference ontology that weaves human intentions and requirements of context awareness systems;~IC1
46;2007;Engineering Village, SCOPUS;A job pause service under LAM/MPI+BLCR for transparent fault tolerance;~IC1
47;2001;ACMDL;A knowledge level software engineering methodology for agent oriented programming;~IC1
48;1992;Web of Science;A KNOWLEDGE-BASED SOFTWARE-DEVELOPMENT ENVIRONMENT SUPPORTING COOPERATIVE WORK;~IC1
49;2011;SCOPUS, ScienceDirect;A memory for goals model of sequence errors;~IC1
50;2010;Engineering Village, SCOPUS;A metamodel for aspect-oriented analysis approach;~IC1
51;2013;ACMDL;A method for modeling of KPIs enabling validation of their properties;~IC1
52;2003;ScienceDirect;A method of formal requirement analysis for NPP I&amp;~IC1
53;2003;SCOPUS;A method of formal requirement analysis for NPP I&C systems based on UML modeling with software cost reduction;~IC1
54;2010;Engineering Village, IEEE, SCOPUS;A method to acquire compliance monitors from regulations;~IC1
55;2004;Engineering Village, SCOPUS, Web of Science;A method to develop feasible requirements for Java mobile code application;~IC1
56;2014;SCOPUS;A middleware and policy-based adaptation framework to simplify software evolution: An implementation on unit trust enterprise system;~IC1
57;2013;IEEE;A mode-based pattern for feature requirements, and a generic feature interface;~IC1
58;2001;Web of Science;A multi-level software architecture metamodel to support the capture and evaluation of stakeholder concerns;~IC1
59;2012;Engineering Village, SCOPUS;A novel approach to design a scalable air quality monitoring system;~IC1
60;2010;ScienceDirect;A Novel Innominate Vein-to-Common Atrium Fenestration at Fontan Completion;~IC1
61;2013;IEEE;A pattern for structuring the behavioural requirements of features of an embedded system;~IC1
62;2005;Engineering Village, SCOPUS;A PES for use in highly safety-critical control;~IC1
63;2007;Engineering Village, SCOPUS;A policy language for distributed usage control;~IC1
64;2011;Engineering Village, SCOPUS;A practical formal approach for requirements validation and verification of dependable systems;~IC1
65;2005;Engineering Village;A project based master's programme for SoF/SoC based sensor systems;~IC1
66;2004;SCOPUS, Web of Science;A propositional logic-based method for verification of feature models;~IC1
67;2007;IEEE;A Refined Goal Model for Semantic Web Services;~IC1
68;2008;Engineering Village, SCOPUS;A reflective framework for fine-grained adaptation of aspect-oriented compositions;~IC1
69;2007;ACMDL;A requirements analysis framework for open systems requirements engineering;~IC1
70;2008;Engineering Village, SCOPUS;A Requirements engineering process model for distributed software development lessons learned;~IC1
71;2006;Springer, Web of Science;A requirements monitoring framework for enterprise systems;~IC1
72;2014;Engineering Village, SCOPUS;A Requirements Monitoring Infrastructure for Very-Large-Scale Software Systems;OK
73;2012;ACMDL, Engineering Village, IEEE, SCOPUS, Web of Science;A requirements-based approach for the design of adaptive systems;OK (CA1)
74;2014;Engineering Village, SCOPUS;A requirements-led approach for specifying QoS-aware service choreographies: An experience report;~IC1
75;2010;IEEE;A Roadmap for Comprehensive Requirements Modeling;~IC1
76;2011;Engineering Village, SCOPUS;A Runtime evaluation methodology and framework for autonomic systems;OK
77;2014;ACMDL, Engineering Village, SCOPUS;A self-tuning scientific framework using model-driven engineering for heterogeneous execution platforms;~IC1
78;2001;ACMDL;A software engineering perspective on algorithmics;~IC1
79;1999;SCOPUS;A software reuse measure: Monitoring an enterprise-level model driven development process;~IC1
80;2005;IEEE;A solution to sensor network coverage problem;~IC1
81;2007;ACMDL, IEEE;A Sound Assertion Semantics for the Dependable Systems Evolution Verifying Compiler;~IC1
82;2012;Web of Science;A Study of the Impact of Global Software Development in Packaged Software Release Planning;~IC1
83;2013;Engineering Village, SCOPUS;A systematic approach to generate and clarify consistent requirements;~IC1
84;2012;IEEE, SCOPUS;A taxonomy of uncertainty for dynamically adaptive systems;~IC1
85;2013;IEEE;A Theory of Information Quality and its Implementation in Systems Engineering;~IC1
86;2011;SCOPUS;A time series for monitoring vegetation activity and phenology at 10-daily time steps covering large parts of South America;~IC1
87;2012;Engineering Village, SCOPUS, Web of Science;A Tool for Managing Evolving Security Requirements;~IC1
88;2010;ACMDL;A typology to support HIS design for collaborative healthcare delivery;~IC1
89;2012;IEEE;A ubiquitous system for smart reasoning for well-being at home and at work;~IC1
90;2007;Engineering Village, IEEE, SCOPUS, Web of Science;A unified requirements model;~IC1
91;1992;ScienceDirect;A VERSATILE MONITORING SYSTEM FOR DISTRIBUTED REAL-TIME SYSTEMS;~IC1
92;1999;Engineering Village, SCOPUS;A virtual hardware handler for RTR systems;~IC1
93;2000;Engineering Village, SCOPUS;ABCD: Eliminating array bounds checks on demand;~IC1
94;2006;Engineering Village, SCOPUS;Abstract machine and structural availability;~IC1
95;2006;Engineering Village;Achieving functional safety of audi dynamic steering using a structured development process;~IC1
96;2014;SCOPUS;Achieving runtime adaptability through automated model evolution and variant selection;OK
97;2003;IEEE;Acquiring and incorporating state-dependent timing requirements;~IC1
98;2013;Engineering Village, IEEE, SCOPUS, Web of Science;Active and Adaptive Services Resource Provisioning with Personalized Customization;~IC1
99;2009;Engineering Village;Activity-driven design approach to the novel control room environments;~IC1
100;2007;Engineering Village, SCOPUS;Adaptive agent model: An agent interaction and computation model;~IC1
101;2010;Engineering Village, IEEE, SCOPUS;Adaptive Goals for Self-Adaptive Service Compositions;OK
102;2012;IEEE;Adaptive protection scheme with fault detection, classification and isolation features for off-grid distributed generation system;~IC1
103;2011;Engineering Village, SCOPUS;Adaptive service composition based on runtime requirements monitoring;OK
104;2013;Web of Science;Adaptive socio-technical systems: a requirements-based approach;~IC1
105;2010;SCOPUS;Adaptive software needs continuous verification;OK
106;2007;Engineering Village, IEEE, SCOPUS, Web of Science;Addressing Legal Requirements in Requirements Engineering;~IC1
107;2011;IEEE;Addressing requirements engineering challenges in the context of Emergent Systems;~IC1
108;2005;Engineering Village;Advanced automation technology reduces refinery energy costs;~IC1
109;1999;IEEE;Advanced technology explosives detection device deployment in the FAA's security equipment integrated program;~IC1
110;2007;Engineering Village;Advancements in aircraft model force and attitude instrumentation by integrating statistical methods;~IC1
111;2014;ACMDL;Advent: a system architecture for advanced monitoring of elders with chronic conditions;~IC1
112;2008;SCOPUS;Agent based seamless context-aware service for moving learners in ubiquitous computing environment;~IC1
113;2002;IEEE;Agent-based tactics for goal-oriented requirements elaboration;~IC1
114;2007;Engineering Village, SCOPUS;Agent-Oriented Software Engineering VII: 7th International Workshop, AOSE 2006 Revised and Invited Papers;~IC1
115;2004;Engineering Village, IEEE, SCOPUS, Web of Science;Alerts in mobile healthcare applications: requirements and pilot study;~IC1
116;2012;SCOPUS, ScienceDirect;Ambient Assisted Living system for in-home monitoring of healthy independent elders;~IC1
117;2011;SCOPUS;An adaptive N-variant software architecture for multi-core platforms: Models and performance analysis;~IC1
118;2006;Engineering Village, SCOPUS;An agent based synchronization scheme for multimedia applications;~IC1
119;2010;Engineering Village, IEEE, SCOPUS;An Agent-Based System to Support Assurance of Security Requirements;~IC1
120;2007;ACMDL;An agent-supported simulation framework for metric-aware dynamic fidelity modeling;~IC1
121;2013;Engineering Village, ScienceDirect;An aggregated energy security performance indicator;~IC1
122;2013;SCOPUS;An Android based home automation system;~IC1
123;2007;Engineering Village, SCOPUS;An approach to automated agent deployment in service-based systems;~IC1
124;2003;ACMDL;An approach to engineer and enforce context constraints in an RBAC environment;~IC1
125;2001;Engineering Village, SCOPUS;An architecture for re-engineering of client/server applications;~IC1
126;2007;Engineering Village, SCOPUS;An automated approach to monitoring and diagnosing requirements;~IC1
127;2006;SCOPUS, ScienceDirect;An efficient heuristic for selecting active nodes in wireless sensor networks;~IC1
128;2005;ACMDL;An empirical study of industrial requirements engineering process assessment and improvement;~IC1
129;2011;SCOPUS;An event driven model for context-aware service;~IC1
130;2010;SCOPUS;An event-based methodology to generate class diagrams and its empirical evaluation;~IC1
131;2010;ACMDL;An experience in using a tool for evaluating a large set of natural language requirements;~IC1
132;2007;Web of Science;An industrial network flow information integration model for supply chain management and intelligent transportation;~IC1
133;2006;SCOPUS;An information infrastructure for coordinating earth science observations;~IC1
134;2006;Engineering Village;An integrated and dynamic multi-object trade-off mechanism model based on process management in software project;~IC1
135;2011;Engineering Village, IEEE;An integrated approach to benefits realisation of railway condition monitoring innovations;~IC1
136;2004;ACMDL;An integrated approach to engineer and enforce context constraints in RBAC environments;~IC1
137;2008;ACMDL;An integrated approach to supporting interaction evolution in home care systems;~IC1
138;2006;Engineering Village;An integrated approach to the development of an intelligent prognostic health management system;~IC1
139;2009;Engineering Village, IEEE, SCOPUS, Web of Science;An interface language of value-added service creation based on capability-injection;~IC1
140;2012;SCOPUS;An ontology-based data acquisition infrastructure using ontologies to create domain-independent software systems;~IC1
141;2005;Web of Science;An operational model for structuring the requirements generation process;~IC1
142;2007;ACMDL;Analysing and enhancing business processes and IT-systems for mobile workforce automation: a framework approach;~IC1
143;2012;Engineering Village, SCOPUS, ScienceDirect, Web of Science;Analysing monitoring and switching problems for adaptive systems;~IC1
144;2010;ACMDL;Analysing people problems in requirements engineering;~IC1
145;2015;IEEE;Analysis of Smart Mobile Applications for Healthcare under Dynamic Context Changes;~IC1
146;2011;Engineering Village;Analysis of solar organic rankine cycle for a building in hot and humid climate;~IC1
147;2006;ACMDL;Analyzing crosscutting in the problem frames approach;~IC1
148;2011;ACMDL;Analyzing goal models: different approaches and how to choose among them;~IC1
149;2006;Engineering Village, SCOPUS;ANIS: A negotiated integration of services in distributed environments;~IC1
150;2005;Engineering Village;Applied software engineering education;~IC1
151;2012;ACMDL;Applying industrial-strength testing techniques to critical care medical equipment;~IC1
153;2007;Engineering Village, SCOPUS, Web of Science;Applying requirements monitoring for autonomic computing in a combat management system;~IC1
154;2012;Engineering Village, IEEE, SCOPUS;Applying SOFL to construct requirements specification for examination monitoring system;~IC1
155;2014;IEEE;Applying wireless sensor networks to renaturation monitoring: From requirements to deployment;~IC1
156;2012;Engineering Village, SCOPUS;Approaches for mastering change;~IC1
157;2003;Engineering Village, SCOPUS;Architecting Adaptable Software Using COTS: An NFR Approach;~IC1
158;2007;Engineering Village, SCOPUS;Architectural adaptation addressing the criteria of multiple quality attributes in mission-critical systems;~IC1
159;2010;SCOPUS;Architecture design of disaster risk assessment and warning system based on UML;~IC1
160;1996;IEEE;Archiving system states by persistent objects;~IC1
161;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Are Your Lights Off? Using Problem Frames to Diagnose System Failures;~IC1
162;2011;Engineering Village, IEEE, SCOPUS, Web of Science;Are your sites down? Requirements-driven self-tuning for the survivability of Web systems;OK
163;2005;Engineering Village;Artificial esophagus with peristaltic movement;~IC1
164;2009;Engineering Village, SCOPUS;ASE2009 - 24th IEEE/ACM International Conference on Automated Software Engineering;~IC1
165;2008;ACMDL;Aspect-oriented modeling approach to define routing in enterprise service bus architectures;~IC1
166;2011;Engineering Village;Aspect-oriented requirements engineering for advanced separation of concerns: A review;~IC1
167;2008;ACMDL;Aspect-oriented requirements engineering: a roadmap;~IC1
168;2006;ACMDL;Aspects, dependencies, and interactions;~IC1
169;2003;Engineering Village, SCOPUS;Assessing Systems Adaptability to a Product Family;~IC1
170;2008;IEEE;Assessing the Applicability of Use Case Maps for Business Process and Workflow Description;~IC1
171;2012;Engineering Village;Assessing vehicle health management requirements for unmanned air systems;~IC1
172;2013;IEEE;Assumption-based risk identification method (ARM) in dynamic service provisioning;~IC1
173;2005;SCOPUS;ATE applied into fault modeling and fault diagnosis of AC servo motor PWM driver system;~IC1
174;1996;ACMDL;Automated consistency checking of requirements specifications;~IC1
175;2008;ACMDL;Automated instrumentation of contracts and scenarios for requirements validation in .net;~IC1
176;2008;Engineering Village, IEEE, SCOPUS;Automated Mapping from Goal Models to Self-Adaptive Systems;~IC1
177;2014;ACMDL;Automated requirements analysis for a molecular watchdog timer;~IC1
178;2012;SCOPUS;Automated testing of Web Services system based on OWL-S;~IC1
179;2011;ACMDL, Engineering Village, SCOPUS, Web of Science;Automatic Derivation of Utility Functions for Monitoring Software Requirements;OK
180;2008;IEEE;Automatic System Modeling Approach Based on Semantic Association;~IC1
181;2011;ACMDL;Automating analysis of qualitative preferences in goal-oriented requirements engineering;OK
182;2014;Engineering Village;Autonomous real time requirements tracing;~IC1
183;2013;ACMDL, Engineering Village, IEEE, SCOPUS;Autonomy requirements engineering: a case study on the BepiColombo mission;OK
184;2006;Engineering Village, SCOPUS;AuViM: A middleware for audio/video sensor networks;~IC1
185;2011;SCOPUS;Awareness requirements for adaptive systems;OK
186;2010;ACMDL;Bee-sensor: a step towards meta-routing strategies in hybrid ad hoc networks;~IC1
187;2009;Springer;BISE – Call for PapersIssue 3/2010High-Impact Requirements Engineering;~IC1
188;2010;ACMDL;Bottom billion architecture: an extensible software architecture for ICT access in the rural developing world;~IC1
189;2009;SCOPUS;BPEL fragments for modularized reuse in modeling BPEL processes;~IC1
190;2012;IEEE;Breaking the big-bang practice of traceability: Pushing timely trace recommendations to project stakeholders;~IC1
191;1996;IEEE;Bridging the gap between structured requirements and object-oriented analysis and design;~IC1
192;2008;Engineering Village, IEEE, SCOPUS;Building Contingencies into Specifications;~IC1
193;2006;ACMDL;Building problem domain ontology from security requirements in regulatory documents;~IC1
194;2007;Engineering Village, IEEE, SCOPUS, Web of Science;Building secure products and solutions;~IC1
195;2014;IEEE;Building up a virtual community for home-based chronic diseases healthcare;~IC1
196;2013;Engineering Village, SCOPUS;Business process configuration with NFRs and context-awareness;OK
197;2007;Engineering Village, SCOPUS;Business process monitoring and alignment: An approach based on the user requirements notation and business intelligence tools;~IC1
198;2014;IEEE;Business processes and regulations compliance management technology;~IC1
199;2005;Engineering Village;Business processes management based on stratified grid;~IC1
200;2007;ACMDL;Can Requirements Be Creative? Experiences with an Enhanced Air Space Management System;~IC1
201;2012;IEEE;Categorizing requirements for a contract-based system integration project;~IC1
202;2010;SCOPUS;CEMS monitoring system of EPA based on WEB;~IC1
203;2015;SCOPUS;Challenges in rendering and maintaining trustworthiness for long-living software systems;~IC1
204;2000;Engineering Village, SCOPUS;Changing class behaviors at run-time in MRP systems;~IC1
205;2014;ScienceDirect;Chapter 13 - The Design Implications of Users’ Values for Software and System Architecture;EC6
206;2011;ScienceDirect;Chapter 9 - Data Requirements Analysis;EC6
207;2008;IEEE;Characterizing maintainability concerns in autonomic element design;~IC1
208;2013;ScienceDirect;Characterizing uncertainty when evaluating risk management metrics: Risk assessment modeling of Listeria monocytogenes contamination in ready-to-eat deli meats;~IC1
209;1997;IEEE;Classical image processing vs. computer vision techniques in automated computer-assisted detection of follicles in ultrasound images of ovary;~IC1
210;2011;ScienceDirect;Clay minerals, carbon storage, and effects of observational scale on computational models;~IC1
211;2005;ACMDL, Engineering Village, IEEE, Web of Science;Clinical requirements engineering;~IC1
212;2011;ACMDL;Cloud adoption: a goal-oriented requirements engineering approach;OK
213;2014;ACMDL;Cloud adoption: prioritizing obstacles and obstacles resolution tactics using AHP;OK
214;2008;IEEE;Cluster management in the known area of deployment for wireless sensor network;~IC1
215;2004;IEEE, Web of Science;Cognitive approach to control of socio-economic systems security;~IC1
217;2009;ACMDL;Collaborative social modeling for designing a patient wellness tracking system in a nurse-managed health care center;OK
218;2007;Engineering Village, SCOPUS;Combining model processing and middleware configuration for building distributed high-integrity systems;~IC1
219;2006;Engineering Village;Commercial-off-the-shelf workflow package as a platform for mission planning data integration;~IC1
220;1993;Engineering Village;Communications service requirements for distributed monitoring applications;~IC1
221;2006;Engineering Village, SCOPUS;Comparative evaluation of dependability characteristics for peer-to-peer architectural styles by simulation;~IC1
222;2006;IEEE;Comparative semantics of Feature Diagrams: FFD vs. vDFD;~IC1
223;2006;Engineering Village, SCOPUS, ScienceDirect, Web of Science;Comparing requirements analysis methods for developing reusable component libraries;OK
224;2005;Engineering Village, SCOPUS;Compile-time stack requirements analysis with GCC motivation, development, and experiments results;~IC1
225;2011;Engineering Village, IEEE, SCOPUS;Compliance management with measurement frameworks;OK
226;2008;Engineering Village, SCOPUS;Compliance of semantic constraints - A requirements analysis for process management systems;~IC1
227;2005;Engineering Village, SCOPUS;Component-based system development;~IC1
228;2015;SCOPUS;Components of a multi-perspective modeling method for designing and managing IT security systems;~IC1
229;2013;IEEE;Comprehensive Integrated Checklists for Requirements Engineering and Software Project Management;~IC1
230;2013;Engineering Village, SCOPUS;Computing' requirements in open source software projects;~IC1
231;2009;ACMDL;Concept analysis for product line requirements;~IC1
232;2009;ACMDL;Conceptual application domain modelling;~IC1
233;2006;Engineering Village;Conservation GIS: Current applications and emerging needs;~IC1
234;2001;Engineering Village, SCOPUS;Constructing adaptive software in distributed systems;~IC1
235;2012;Engineering Village, SCOPUS;Construction and implementation of surveillance system for software engineering oriented training;~IC1
236;2013;SCOPUS;Context-awareness for self-adaptive applications in ubiquitous computing environments;OK
237;2013;Engineering Village;Context-sensitive traceability controlling;~IC1
238;2010;Engineering Village, IEEE, SCOPUS;Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications;OK
239;2005;Engineering Village, SCOPUS;Correlating features and code using a compact two-sided trace analysis approach;~IC1
240;2004;Engineering Village, SCOPUS;COTS tenders and integration requirements;~IC1
241;2013;ACMDL;Counter play-out: executing unrealizable scenario-based specifications;~IC1
242;2009;SCOPUS;Critical infrastructures security modeling, enforcement and runtime checking;~IC1
243;2011;ACMDL;CSSL: a logic for specifying conditional scenarios;~IC1
244;2003;Engineering Village, SCOPUS;Cyclone: A broadcast-free dynamic instruction scheduler with selective replay;~IC1
245;2013;Engineering Village, SCOPUS;Data requirements analysis based on China's agricultural monitoring and early-warning;~IC1
246;2014;Engineering Village, SCOPUS;Dealing with multiple failures in zanshin: A control-theoretic approach;OK
247;2011;Engineering Village, IEEE, SCOPUS;Dealing with softgoals at runtime: A fuzzy logic approach;OK (CA7)
248;2003;Engineering Village;Decision support tools for market participants;~IC1
249;2006;Engineering Village;DEEPS: Deterministic energy-efficient protocol for sensor networks;~IC1
250;2008;Web of Science;Deriving policies from grid security requirements model;~IC1
251;2011;ACMDL;Description Logic Based BDI Implementation for Goal-Directed Semantic Agents;~IC1
252;2012;ScienceDirect;Design and application of task administration protocols for collaborative production and service systems;~IC1
253;2012;Engineering Village, ScienceDirect;Design and implementation of an identification system in construction site safety for proactive accident prevention;~IC1
254;2014;IEEE;Design and Implementation of Web-Based International Trade Risk Management Platform;~IC1
255;2010;Engineering Village, SCOPUS;Design boundary objects - Development guidelines for financial data warehouse projects;~IC1
256;2008;Engineering Village;Design of a novel intelligent data management tool for health and usage monitoring systems - Software requirements;~IC1
257;2009;IEEE;Design of Data Management System for Agricultural Land Quality Dynamic Monitoring;~IC1
258;2010;SCOPUS;Design of network action surveillance system based on internet real-name system;~IC1
259;1990;Engineering Village;Design of sampling networks for water table monitoring;~IC1
260;2008;ACMDL;Design patterns: between programming and software design;~IC1
261;2009;ACMDL;Designing a citation-sensitive research tool: an initial study of browsing-specific information needs;~IC1
262;2013;Engineering Village, SCOPUS;Designing an adaptive computer-aided ambulance dispatch system with Zanshin: An experience report;OK
263;2004;Engineering Village, SCOPUS;Designing quality architecture: Incorporating ISO standards into the unified process;~IC1
264;2009;Engineering Village, SCOPUS, Web of Science;Designs Can Talk: A Case of Feedback for Design Evolution in Assistive Technology;OK
265;2005;ACMDL;Detecting and resolving semantic pathologies in UML sequence diagrams;~IC1
266;2008;Engineering Village, SCOPUS;Developing a multiagent conference management system using the O-MaSE process framework;~iC1
267;2014;ACMDL;Developing a sustainability non-functional requirements framework;~iC1
268;2008;IEEE;Developing a Workflow Design Framework Based on Dataflow Analysis;~iC1
269;2010;Engineering Village, IEEE, SCOPUS;Developing Business Process Monitoring Strategy in a Supply Chain Using Information Requirements Analysis;~IC1
270;2013;ACMDL;Developing self managing software systems using agile modeling;~IC1
271;2007;SCOPUS;Development and evaluation of a vehicle-infrastructure integration simulation architecture;~IC1
272;2013;Engineering Village, IEEE;Development of a test bed for monitoring & control software of a ground station & its analysis by application of standard software metrics;~IC1
273;2011;Engineering Village, SCOPUS;Development of agent-driven systems: From i;OK
274;1999;IEEE;Development of an intelligent control system for a municipal water distribution network;~IC1
275;1998;ScienceDirect;Development of Clinical Nutrition Staffing Model;~IC1
276;2008;Engineering Village, IEEE, SCOPUS, Web of Science;Development of Context-Aware Systems to Support Human-Human Communication and Collaboration;~IC1
277;2002;Engineering Village;Development of modern electronic control systems for power distribution;~IC1
278;2011;Engineering Village, IEEE;Development of the adaptable, GIS-based, multi-threat detection system;~IC1
279;2014;IEEE;Discovering affect-laden requirements to achieve system acceptance;~IC1
280;2006;IEEE;Discovering early aspects through Goals Interactions;~IC1
281;2014;SCOPUS;Disease surveillance and patient care in remote regions: an exploratory study of collaboration among health-care professionals in Amazonia;~IC1
282;2009;Engineering Village, SCOPUS;Do you smell rotten eggs?' Evaluating interactions with mobile agents in crisis response situations;~IC1
284;1993;IEEE;Documentation of requirements for computer systems;~IC1
285;2008;IEEE;Domain Model Evolutionary Approach Based on Semantic Association;~IC1
286;2010;ACMDL;DREAMER: a design rationale environment for argumentation, modeling and engineering requirements;~IC1
287;2008;IEEE;Dynamic Maintenance of Software Systems at Runtime;~IC1
288;1999;Engineering Village, SCOPUS;Dynamic precision management for loop computations on reconfigurable architectures;~IC1
290;2007;Engineering Village, SCOPUS, Web of Science;Dynamic requirements specification for adaptable and open service-oriented systems;OK
291;2005;Engineering Village, SCOPUS;Dynamic software assembly for automatic deployment-oriented adaptation;~IC1
292;2006;Engineering Village, SCOPUS;Dynamic weaving of security aspects in service composition;~IC1
293;2010;SCOPUS;Dynamically adaptive systems through automated model evolution using service compositions;OK
294;2013;SCOPUS;Early accessibility evaluation in web application development;~IC1
295;2007;ACMDL;Early Aspects at ICSE 2007: Workshop on Aspect-Oriented Requirements Engineering and Architecture Design;~IC1
296;2005;Engineering Village, SCOPUS, ScienceDirect, Springer, Web of Science;Early Verification and Validation of Mission Critical Systems;OK
297;2015;ACMDL;Editorial: “Complexity of Systems Evolution: Requirements Engineering Perspective”;~IC1
298;2012;IEEE;Efficient consistency checking of scenario-based product-line specifications;~IC1
299;2009;SCOPUS;Efficient large-scale model checking;~IC1
300;2005;Engineering Village;Efficient response time predictions by exploiting application and resource state similarities;~IC1
301;2006;Engineering Village, SCOPUS;Efficient trace monitoring;~IC1
302;2001;Engineering Village, SCOPUS;EJVM: an economic Java run-time environment for embedded devices;~IC1
303;2004;ACMDL;Elaborating Security Requirements by Construction of Intentional Anti-Models;~IC1
304;2006;Engineering Village, SCOPUS;Elevating interaction requirements for web service composition;~IC1
305;2012;ACMDL;Elicitation of Security requirements for E-Health system by applying Model Oriented Security Requirements Engineering (MOSRE) Framework;~IC1
306;2005;ACMDL;Eliciting confidentiality requirements in practice;~IC1
307;2014;IEEE;Eliciting contextual requirements at design time: A case study;~IC1
308;2004;ACMDL;Eliciting service composition in a goal driven manner;~IC1
309;2005;IEEE;Embedding policy rules for software-based systems in a requirements context;~IC1
310;2003;IEEE;Embracing requirements variety for e-Governments based on multiple product-lines frameworks;~IC1
311;2006;IEEE;EMCCD-Based Detector for Time-Resolved X-Ray Diffraction and Scattering Studies of Biological Specimens;~IC1
312;2009;SCOPUS;Emergency response workflow resource requirements modeling and analysis;OK
313;2011;Engineering Village, SCOPUS;Empirical evaluation of tropos4AS modelling;OK
314;2013;Engineering Village, IEEE, Web of Science;End-to-End Formal Specification, Validation, and Verification Process: A Case Study of Space Flight Software;OK
315;2009;IEEE;Energy aware beaconless geographical routing in three dimensional Wireless Sensor Networks;~IC1
316;2011;Engineering Village, SCOPUS;Enforcing safety requirements for industrial automation systems at runtime position paper;OK
317;2010;IEEE;Engineering a Sound Assertion Semantics for the Verifying Compiler;OK
318;2013;ACMDL;Engineering adaptation with Zanshin: an experience report;OK
319;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Engineering adaptive requirements;OK
320;2014;ACMDL;Engineering of quality requirements as perceived by near-shore development centers' architects in eastern Europe: the hole in the whole;~IC1
321;2006;ACMDL;Engineering safety-related requirements for software-intensive systems;EC5
