100;2003;"IEEE";"Acquiring and incorporating state-dependent timing requirements"
101;2013;"Engineering Village, IEEE, SCOPUS, Web of Science";"Active and Adaptive Services Resource Provisioning with Personalized Customization"
102;2009;"Engineering Village";"Activity-driven design approach to the novel control room environments"
103;2007;"Engineering Village, SCOPUS";"Adaptive agent model: An agent interaction and computation model"
104;2010;"Engineering Village, IEEE, SCOPUS";"Adaptive Goals for Self-Adaptive Service Compositions"
105;2012;"IEEE";"Adaptive protection scheme with fault detection, classification and isolation features for off-grid distributed generation system"
106;2011;"Engineering Village, SCOPUS";"Adaptive service composition based on runtime requirements monitoring"
107;2013;"Web of Science";"Adaptive socio-technical systems: a requirements-based approach"
108;2010;"SCOPUS";"Adaptive software needs continuous verification"
109;2007;"Engineering Village, IEEE, SCOPUS, Web of Science";"Addressing Legal Requirements in Requirements Engineering"
110;2011;"IEEE";"Addressing requirements engineering challenges in the context of Emergent Systems"
111;2005;"Engineering Village";"Advanced automation technology reduces refinery energy costs"
112;1999;"IEEE";"Advanced technology explosives detection device deployment in the FAA's security equipment integrated program"
113;2007;"Engineering Village";"Advancements in aircraft model force and attitude instrumentation by integrating statistical methods"
114;2014;"ACMDL";"Advent: a system architecture for advanced monitoring of elders with chronic conditions"
115;2008;"SCOPUS";"Agent based seamless context-aware service for moving learners in ubiquitous computing environment"
116;2002;"IEEE";"Agent-based tactics for goal-oriented requirements elaboration"
117;2007;"Engineering Village, SCOPUS";"Agent-Oriented Software Engineering VII: 7th International Workshop, AOSE 2006 Revised and Invited Papers"
118;2004;"Engineering Village, IEEE, SCOPUS, Web of Science";"Alerts in mobile healthcare applications: requirements and pilot study"
119;2012;"SCOPUS, ScienceDirect";"Ambient Assisted Living system for in-home monitoring of healthy independent elders"
120;2011;"SCOPUS";"An adaptive N-variant software architecture for multi-core platforms: Models and performance analysis"
121;2006;"Engineering Village, SCOPUS";"An agent based synchronization scheme for multimedia applications"
122;2010;"Engineering Village, IEEE, SCOPUS";"An Agent-Based System to Support Assurance of Security Requirements"
123;2007;"ACMDL";"An agent-supported simulation framework for metric-aware dynamic fidelity modeling"
124;2013;"Engineering Village, ScienceDirect";"An aggregated energy security performance indicator"
125;2013;"SCOPUS";"An Android based home automation system"
126;2007;"Engineering Village, SCOPUS";"An approach to automated agent deployment in service-based systems"
127;2003;"ACMDL";"An approach to engineer and enforce context constraints in an RBAC environment"
128;2001;"Engineering Village, SCOPUS";"An architecture for re-engineering of client/server applications"
129;2007;"Engineering Village, SCOPUS";"An automated approach to monitoring and diagnosing requirements"
130;2006;"SCOPUS, ScienceDirect";"An efficient heuristic for selecting active nodes in wireless sensor networks"
131;2005;"ACMDL";"An empirical study of industrial requirements engineering process assessment and improvement"
132;2011;"SCOPUS";"An event driven model for context-aware service"
133;2010;"SCOPUS";"An event-based methodology to generate class diagrams and its empirical evaluation"
134;2010;"ACMDL";"An experience in using a tool for evaluating a large set of natural language requirements"
135;2007;"Web of Science";"An industrial network flow information integration model for supply chain management and intelligent transportation"
136;2006;"SCOPUS";"An information infrastructure for coordinating earth science observations"
137;2006;"Engineering Village";"An integrated and dynamic multi-object trade-off mechanism model based on process management in software project"
138;2011;"Engineering Village, IEEE";"An integrated approach to benefits realisation of railway condition monitoring innovations"
139;2004;"ACMDL";"An integrated approach to engineer and enforce context constraints in RBAC environments"
140;2008;"ACMDL";"An integrated approach to supporting interaction evolution in home care systems"
141;2006;"Engineering Village";"An integrated approach to the development of an intelligent prognostic health management system"
142;2009;"Engineering Village, IEEE, SCOPUS, Web of Science";"An interface language of value-added service creation based on capability-injection"
143;2012;"SCOPUS";"An ontology-based data acquisition infrastructure using ontologies to create domain-independent software systems"
144;2005;"Web of Science";"An operational model for structuring the requirements generation process"
145;2007;"ACMDL";"Analysing and enhancing business processes and IT-systems for mobile workforce automation: a framework approach"
146;2012;"Engineering Village, SCOPUS, ScienceDirect, Web of Science";"Analysing monitoring and switching problems for adaptive systems"
147;2010;"ACMDL";"Analysing people problems in requirements engineering"
148;2015;"IEEE";"Analysis of Smart Mobile Applications for Healthcare under Dynamic Context Changes"
149;2011;"Engineering Village";"Analysis of solar organic rankine cycle for a building in hot and humid climate"
150;2006;"ACMDL";"Analyzing crosscutting in the problem frames approach"
151;2011;"ACMDL";"Analyzing goal models: different approaches and how to choose among them"
152;2006;"Engineering Village, SCOPUS";"ANIS: A negotiated integration of services in distributed environments"
153;2005;"Engineering Village";"Applied software engineering education"
154;2012;"ACMDL";"Applying industrial-strength testing techniques to critical care medical equipment"
155;2007;"IEEE";"Applying requirement monitoring for autonomic computing in a combat management system"
156;2007;"Engineering Village, SCOPUS, Web of Science";"Applying requirements monitoring for autonomic computing in a combat management system"
157;2012;"Engineering Village, IEEE, SCOPUS";"Applying SOFL to construct requirements specification for examination monitoring system"
158;2014;"IEEE";"Applying wireless sensor networks to renaturation monitoring: From requirements to deployment"
159;2012;"Engineering Village, SCOPUS";"Approaches for mastering change"
160;2003;"Engineering Village, SCOPUS";"Architecting Adaptable Software Using COTS: An NFR Approach"
161;2007;"Engineering Village, SCOPUS";"Architectural adaptation addressing the criteria of multiple quality attributes in mission-critical systems"
162;2010;"SCOPUS";"Architecture design of disaster risk assessment and warning system based on UML"
163;1996;"IEEE";"Archiving system states by persistent objects"
164;2009;"Engineering Village, IEEE, SCOPUS, Web of Science";"Are Your Lights Off? Using Problem Frames to Diagnose System Failures"
165;2011;"Engineering Village, IEEE, SCOPUS, Web of Science";"Are your sites down? Requirements-driven self-tuning for the survivability of Web systems"
166;2005;"Engineering Village";"Artificial esophagus with peristaltic movement"
167;2009;"Engineering Village, SCOPUS";"ASE2009 - 24th IEEE/ACM International Conference on Automated Software Engineering"
168;2008;"ACMDL";"Aspect-oriented modeling approach to define routing in enterprise service bus architectures"
169;2011;"Engineering Village";"Aspect-oriented requirements engineering for advanced separation of concerns: A review"
170;2008;"ACMDL";"Aspect-oriented requirements engineering: a roadmap"
171;2006;"ACMDL";"Aspects, dependencies, and interactions"
172;2003;"Engineering Village, SCOPUS";"Assessing Systems Adaptability to a Product Family"
173;2008;"IEEE";"Assessing the Applicability of Use Case Maps for Business Process and Workflow Description"
174;2012;"Engineering Village";"Assessing vehicle health management requirements for unmanned air systems"
175;2013;"IEEE";"Assumption-based risk identification method (ARM) in dynamic service provisioning"
176;2005;"SCOPUS";"ATE applied into fault modeling and fault diagnosis of AC servo motor PWM driver system"
177;1996;"ACMDL";"Automated consistency checking of requirements specifications"
178;2008;"ACMDL";"Automated instrumentation of contracts and scenarios for requirements validation in .net"
179;2008;"Engineering Village, IEEE, SCOPUS";"Automated Mapping from Goal Models to Self-Adaptive Systems"
180;2014;"ACMDL";"Automated requirements analysis for a molecular watchdog timer"
181;1988;"ScienceDirect";"Automated software project planning and control"
182;2012;"SCOPUS";"Automated testing of Web Services system based on OWL-S"
183;2011;"ACMDL, Engineering Village, SCOPUS, Web of Science";"Automatic Derivation of Utility Functions for Monitoring Software Requirements"
184;2008;"IEEE";"Automatic System Modeling Approach Based on Semantic Association"
185;2011;"ACMDL";"Automating analysis of qualitative preferences in goal-oriented requirements engineering"
186;2014;"Engineering Village";"Autonomous real time requirements tracing"
187;2013;"ACMDL, Engineering Village, IEEE, SCOPUS";"Autonomy requirements engineering: a case study on the BepiColombo mission"
188;2006;"Engineering Village, SCOPUS";"AuViM: A middleware for audio/video sensor networks"
189;2011;"SCOPUS";"Awareness requirements for adaptive systems"
190;2010;"ACMDL";"Bee-sensor: a step towards meta-routing strategies in hybrid ad hoc networks"
191;2009;"Springer";"BISE – Call for PapersIssue 3/2010High-Impact Requirements Engineering"
192;2010;"ACMDL";"Bottom billion architecture: an extensible software architecture for ICT access in the rural developing world"
193;2009;"SCOPUS";"BPEL fragments for modularized reuse in modeling BPEL processes"
194;2012;"IEEE";"Breaking the big-bang practice of traceability: Pushing timely trace recommendations to project stakeholders"
195;1996;"IEEE";"Bridging the gap between structured requirements and object-oriented analysis and design"
196;2008;"Engineering Village, IEEE, SCOPUS";"Building Contingencies into Specifications"
197;2006;"ACMDL";"Building problem domain ontology from security requirements in regulatory documents"
198;2007;"Engineering Village, IEEE, SCOPUS, Web of Science";"Building secure products and solutions"
199;2014;"IEEE";"Building up a virtual community for home-based chronic diseases healthcare"
200;2013;"Engineering Village, SCOPUS";"Business process configuration with NFRs and context-awareness"
201;2007;"Engineering Village, SCOPUS";"Business process monitoring and alignment: An approach based on the user requirements notation and business intelligence tools"
202;2014;"IEEE";"Business processes and regulations compliance management technology"
203;2005;"Engineering Village";"Business processes management based on stratified grid"
204;2007;"ACMDL";"Can Requirements Be Creative? Experiences with an Enhanced Air Space Management System"
205;2012;"IEEE";"Categorizing requirements for a contract-based system integration project"
206;2010;"SCOPUS";"CEMS monitoring system of EPA based on WEB"
207;2015;"SCOPUS";"Challenges in rendering and maintaining trustworthiness for long-living software systems"
208;2000;"Engineering Village, SCOPUS";"Changing class behaviors at run-time in MRP systems"
209;2014;"ScienceDirect";"Chapter 13 - The Design Implications of Users’ Values for Software and System Architecture"
210;2011;"ScienceDirect";"Chapter 9 - Data Requirements Analysis"
211;2008;"IEEE";"Characterizing maintainability concerns in autonomic element design"
212;2013;"ScienceDirect";"Characterizing uncertainty when evaluating risk management metrics: Risk assessment modeling of Listeria monocytogenes contamination in ready-to-eat deli meats"
213;1997;"IEEE";"Classical image processing vs. computer vision techniques in automated computer-assisted detection of follicles in ultrasound images of ovary"
214;2011;"ScienceDirect";"Clay minerals, carbon storage, and effects of observational scale on computational models"
215;2005;"ACMDL, Engineering Village, IEEE, Web of Science";"Clinical requirements engineering"
216;2011;"ACMDL";"Cloud adoption: a goal-oriented requirements engineering approach"
217;2014;"ACMDL";"Cloud adoption: prioritizing obstacles and obstacles resolution tactics using AHP"
218;2008;"IEEE";"Cluster management in the known area of deployment for wireless sensor network"
219;2004;"IEEE, Web of Science";"Cognitive approach to control of socio-economic systems security"
220;2004;"Engineering Village";"Cognitive approach to control of socio-economie systems security"
221;2009;"ACMDL";"Collaborative social modeling for designing a patient wellness tracking system in a nurse-managed health care center"
222;2007;"Engineering Village, SCOPUS";"Combining model processing and middleware configuration for building distributed high-integrity systems"
223;2006;"Engineering Village";"Commercial-off-the-shelf workflow package as a platform for mission planning data integration"
224;1993;"Engineering Village";"Communications service requirements for distributed monitoring applications"
225;2006;"Engineering Village, SCOPUS";"Comparative evaluation of dependability characteristics for peer-to-peer architectural styles by simulation"
226;2006;"IEEE";"Comparative semantics of Feature Diagrams: FFD vs. vDFD"
227;2006;"Engineering Village, SCOPUS, ScienceDirect, Web of Science";"Comparing requirements analysis methods for developing reusable component libraries"
228;2005;"Engineering Village, SCOPUS";"Compile-time stack requirements analysis with GCC motivation, development, and experiments results"
229;2011;"Engineering Village, IEEE, SCOPUS";"Compliance management with measurement frameworks"
230;2008;"Engineering Village, SCOPUS";"Compliance of semantic constraints - A requirements analysis for process management systems"
231;2005;"Engineering Village, SCOPUS";"Component-based system development"
232;2015;"SCOPUS";"Components of a multi-perspective modeling method for designing and managing IT security systems"
233;2013;"IEEE";"Comprehensive Integrated Checklists for Requirements Engineering and Software Project Management"
234;2013;"Engineering Village, SCOPUS";"Computing' requirements in open source software projects"
235;2009;"ACMDL";"Concept analysis for product line requirements"
236;2009;"ACMDL";"Conceptual application domain modelling"
237;2006;"Engineering Village";"Conservation GIS: Current applications and emerging needs"
238;2001;"Engineering Village, SCOPUS";"Constructing adaptive software in distributed systems"
239;2012;"Engineering Village, SCOPUS";"Construction and implementation of surveillance system for software engineering oriented training"
240;2013;"SCOPUS";"Context-awareness for self-adaptive applications in ubiquitous computing environments"
241;2013;"Engineering Village";"Context-sensitive traceability controlling"
242;2010;"Engineering Village, IEEE, SCOPUS";"Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications"
243;2005;"Engineering Village, SCOPUS";"Correlating features and code using a compact two-sided trace analysis approach"
244;2004;"Engineering Village, SCOPUS";"COTS tenders and integration requirements"
245;2013;"ACMDL";"Counter play-out: executing unrealizable scenario-based specifications"
246;2009;"SCOPUS";"Critical infrastructures security modeling, enforcement and runtime checking"
247;2011;"ACMDL";"CSSL: a logic for specifying conditional scenarios"
248;2003;"Engineering Village, SCOPUS";"Cyclone: A broadcast-free dynamic instruction scheduler with selective replay"
249;2013;"Engineering Village, SCOPUS";"Data requirements analysis based on China's agricultural monitoring and early-warning"
250;2014;"Engineering Village, SCOPUS";"Dealing with multiple failures in zanshin: A control-theoretic approach"
251;2011;"Engineering Village, IEEE, SCOPUS";"Dealing with softgoals at runtime: A fuzzy logic approach"
252;2003;"Engineering Village";"Decision support tools for market participants"
253;2006;"Engineering Village";"DEEPS: Deterministic energy-efficient protocol for sensor networks"
254;2008;"Web of Science";"Deriving policies from grid security requirements model"
255;2011;"ACMDL";"Description Logic Based BDI Implementation for Goal-Directed Semantic Agents"
256;2012;"ScienceDirect";"Design and application of task administration protocols for collaborative production and service systems"
257;2012;"Engineering Village, ScienceDirect";"Design and implementation of an identification system in construction site safety for proactive accident prevention"
258;2014;"IEEE";"Design and Implementation of Web-Based International Trade Risk Management Platform"
259;2010;"Engineering Village, SCOPUS";"Design boundary objects - Development guidelines for financial data warehouse projects"
260;2008;"Engineering Village";"Design of a novel intelligent data management tool for health and usage monitoring systems - Software requirements"
261;2009;"IEEE";"Design of Data Management System for Agricultural Land Quality Dynamic Monitoring"
262;2010;"SCOPUS";"Design of network action surveillance system based on internet real-name system"
263;1990;"Engineering Village";"Design of sampling networks for water table monitoring"
264;2008;"ACMDL";"Design patterns: between programming and software design"
265;2009;"ACMDL";"Designing a citation-sensitive research tool: an initial study of browsing-specific information needs"
266;2013;"Engineering Village, SCOPUS";"Designing an adaptive computer-aided ambulance dispatch system with Zanshin: An experience report"
267;2004;"Engineering Village, SCOPUS";"Designing quality architecture: Incorporating ISO standards into the unified process"
268;2009;"Engineering Village, SCOPUS, Web of Science";"Designs Can Talk: A Case of Feedback for Design Evolution in Assistive Technology"
269;2005;"ACMDL";"Detecting and resolving semantic pathologies in UML sequence diagrams"
270;2008;"Engineering Village, SCOPUS";"Developing a multiagent conference management system using the O-MaSE process framework"
271;2014;"ACMDL";"Developing a sustainability non-functional requirements framework"
272;2008;"IEEE";"Developing a Workflow Design Framework Based on Dataflow Analysis"
273;2010;"Engineering Village, IEEE, SCOPUS";"Developing Business Process Monitoring Strategy in a Supply Chain Using Information Requirements Analysis"
274;2013;"ACMDL";"Developing self managing software systems using agile modeling"
275;2007;"SCOPUS";"Development and evaluation of a vehicle-infrastructure integration simulation architecture"
276;2013;"Engineering Village, IEEE";"Development of a test bed for monitoring & control software of a ground station & its analysis by application of standard software metrics"
277;2011;"Engineering Village, SCOPUS";"Development of agent-driven systems: From i"
278;1999;"IEEE";"Development of an intelligent control system for a municipal water distribution network"
279;1998;"ScienceDirect";"Development of Clinical Nutrition Staffing Model"
280;2008;"Engineering Village, IEEE, SCOPUS, Web of Science";"Development of Context-Aware Systems to Support Human-Human Communication and Collaboration"
281;2002;"Engineering Village";"Development of modern electronic control systems for power distribution"
282;2011;"Engineering Village, IEEE";"Development of the adaptable, GIS-based, multi-threat detection system"
283;2014;"IEEE";"Discovering affect-laden requirements to achieve system acceptance"
284;2006;"IEEE";"Discovering early aspects"
285;2014;"SCOPUS";"Disease surveillance and patient care in remote regions: an exploratory study of collaboration among health-care professionals in Amazonia"
286;2009;"Engineering Village, SCOPUS";"Do you smell rotten eggs?' Evaluating interactions with mobile agents in crisis response situations"
287;2009;"ACMDL";"Do you smell rotten eggs?': evaluating interactions with mobile agents in crisis response situations"
288;1993;"IEEE";"Documentation of requirements for computer systems"
289;2008;"IEEE";"Domain Model Evolutionary Approach Based on Semantic Association"
290;2010;"ACMDL";"DREAMER: a design rationale environment for argumentation, modeling and engineering requirements"
291;2008;"IEEE";"Dynamic Maintenance of Software Systems at Runtime"
292;1999;"Engineering Village, SCOPUS";"Dynamic precision management for loop computations on reconfigurable architectures"
293;2007;"Engineering Village, IEEE, SCOPUS";"Dynamic Requirements Specification for Adaptable and Open Service Systems"
294;2007;"Engineering Village, SCOPUS, Web of Science";"Dynamic requirements specification for adaptable and open service-oriented systems"
295;2005;"Engineering Village, SCOPUS";"Dynamic software assembly for automatic deployment-oriented adaptation"
296;2006;"Engineering Village, SCOPUS";"Dynamic weaving of security aspects in service composition"
297;2010;"SCOPUS";"Dynamically adaptive systems through automated model evolution using service compositions"
298;2013;"SCOPUS";"Early accessibility evaluation in web application development"
299;2007;"ACMDL";"Early Aspects at ICSE 2007: Workshop on Aspect-Oriented Requirements Engineering and Architecture Design"
300;2005;"Engineering Village, SCOPUS, ScienceDirect, Springer, Web of Science";"Early Verification and Validation of Mission Critical Systems"
301;2015;"ACMDL";"Editorial: “Complexity of Systems Evolution: Requirements Engineering Perspective”"
302;2012;"IEEE";"Efficient consistency checking of scenario-based product-line specifications"
303;2009;"SCOPUS";"Efficient large-scale model checking"
304;2005;"Engineering Village";"Efficient response time predictions by exploiting application and resource state similarities"
305;2006;"Engineering Village, SCOPUS";"Efficient trace monitoring"
306;2001;"Engineering Village, SCOPUS";"EJVM: an economic Java run-time environment for embedded devices"
307;2004;"ACMDL";"Elaborating Security Requirements by Construction of Intentional Anti-Models"
308;2006;"Engineering Village, SCOPUS";"Elevating interaction requirements for web service composition"
309;2012;"ACMDL";"Elicitation of Security requirements for E-Health system by applying Model Oriented Security Requirements Engineering (MOSRE) Framework"
310;2005;"ACMDL";"Eliciting confidentiality requirements in practice"
311;2014;"IEEE";"Eliciting contextual requirements at design time: A case study"
312;2004;"ACMDL";"Eliciting service composition in a goal driven manner"
313;2005;"IEEE";"Embedding policy rules for software-based systems in a requirements context"
314;2003;"IEEE";"Embracing requirements variety for e-Governments based on multiple product-lines frameworks"
315;2006;"IEEE";"EMCCD-Based Detector for Time-Resolved X-Ray Diffraction and Scattering Studies of Biological Specimens"
316;2009;"SCOPUS";"Emergency response workflow resource requirements modeling and analysis"
317;2011;"Engineering Village, SCOPUS";"Empirical evaluation of tropos4AS modelling"
318;2013;"Engineering Village, IEEE, Web of Science";"End-to-End Formal Specification, Validation, and Verification Process: A Case Study of Space Flight Software"
319;2009;"IEEE";"Energy aware beaconless geographical routing in three dimensional Wireless Sensor Networks"
320;2011;"Engineering Village, SCOPUS";"Enforcing safety requirements for industrial automation systems at runtime position paper"
321;2010;"IEEE";"Engineering a Sound Assertion Semantics for the Verifying Compiler"
322;2013;"ACMDL";"Engineering adaptation with Zanshin: an experience report"
323;2009;"Engineering Village, IEEE, SCOPUS, Web of Science";"Engineering adaptive requirements"
324;2014;"ACMDL";"Engineering of quality requirements as perceived by near-shore development centers' architects in eastern Europe: the hole in the whole"
325;2006;"ACMDL";"Engineering safety-related requirements for software-intensive systems"
326;2012;"Engineering Village, SCOPUS";"Engineering Secure Software and Systems - 4th International Symposium, ESSoS 2012, Proceedings"
327;1991;"IEEE";"Engineering service negotiation and management functionality for the advanced intelligent network: an application of object-oriented technology"
328;2014;"IEEE";"Engineering topology aware adaptive security: Preventing requirements violations at runtime"
329;2007;"Engineering Village, SCOPUS";"Enhancing residential gateways: OSGi service composition"
330;2008;"SCOPUS";"Enterprise information system security: A life-cycle approach"
331;2011;"SCOPUS, Web of Science";"Enterprise Monitoring Ontology"
